No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (in millions)
19	1	" Summer, Kind of Wonderful "	J. Miller Tobin	Joshua Safran	September1,2008	3.43
20	2	" Never Been Marcused "	Michael Fields	Stephanie Savage	September8,2008	3.25
21	3	" The Dark Night "	Janice Cooke	John Stephens	September15,2008	3.73
22	4	" The Ex Files "	Jim McKay	Robert Hull	September22,2008	3.33
23	5	" The Serena Also Rises "	Patrick Norris	Jessica Queller	September29,2008	3.40
24	6	"New Haven Can Wait"	Norman Buckley	Alexandra McNally & Joshua Safran	October13,2008	3.31
25	7	"Chuck in Real Life"	Tony Wharmby	Lenn K. Rosenfeld	October20,2008	3.03
26	8	"Pret-a-Poor-J"	Vondie Curtis-Hall	Amanda Lasher	October27,2008	3.05
27	9	"There Might Be Blood"	Michael Fields	Etan Frankel & John Stephens	November3,2008	3.16
28	10	"Bonfire of the Vanity"	David Von Ancken	Jessica Queller	November10,2008	2.88
29	11	"The Magnificent Archibalds"	Jean de Segonzac	Joshua Safran	November17,2008	2.89
30	12	"It's a Wonderful Lie"	Patrick Norris	Robert Hull	December1,2008	3.11
31	13	"O Brother, Where Bart Thou?"	Joe Lazarov	Stephanie Savage	December8,2008	2.99
32	14	"In the Realm of the Basses"	Tony Wharmby	John Stephens	January5,2009	2.96
33	15	"Gone with the Will"	Tricia Brock	Amanda Lasher	January12,2009	2.85
34	16	"You've Got Yale!"	Janice Cooke	Joshua Safran	January19,2009	2.22
35	17	"Carnal Knowledge"	Elizabeth Allen	Alexandra McNally & Lenn K. Rosenfeld	February2,2009	2.31
36	18	"The Age of Dissonance"	Norman Buckley	Jessica Queller	March16,2009	2.33
37	19	"The Grandfather"	J. Miller Tobin	Robert Hull & Etan Frankel	March23,2009	2.25
38	20	"Remains of the J"	Allison Liddi-Brown	Sarah Frank-Meltzer	March30,2009	2.45
39	21	"Seder Anything"	John Stephens	Amanda Lasher	April20,2009	2.37
40	22	"Southern Gentlemen Prefer Blondes"	Patrick Norris	Leila Gerstein	April27,2009	1.97
41	23	"The Wrath of Con"	Janice Cooke	Sara Goodman	May4,2009	2.22
42	24	" Valley Girls "	Mark Piznarski	Josh Schwartz & Stephanie Savage	May11,2009	2.30
