Week	Date	Opponent	Result	Attendance
1	September 4, 1994	San Diego Chargers	L 37–34	74,032
2	September 11, 1994	at New York Jets	L 25–22	73,436
3	September 18, 1994	Los Angeles Raiders	L 48–16	75,764
4	September 26, 1994	at Buffalo Bills	L 27–20	75,373
5	Bye	Bye	Bye	Bye
6	October 9, 1994	at Seattle Seahawks	W 16–9	63,872
7	October 17, 1994	Kansas City Chiefs	L 31–28	75,151
8	October 23, 1994	at San Diego Chargers	W 20–15	61,626
9	October 30, 1994	Cleveland Browns	W 26–14	73,190
10	November 6, 1994	at Los Angeles Rams	L 27–21	48,103
11	November 13, 1994	Seattle Seahawks	W 17–10	71,290
12	November 20, 1994	Atlanta Falcons	W 32–28	70,594
13	November 27, 1994	Cincinnati Bengals	W 15–13	69,714
14	December 4, 1994	at Kansas City Chiefs	W 20–17	77,631
15	December 11, 1994	at Los Angeles Raiders	L 23–13	60,016
16	December 17, 1994	at San Francisco 49ers	L 42–19	64,884
17	December 24, 1994	New Orleans Saints	L 30–28	64,445
