Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Leek Town	42	8	8	70	31	+39	86
2	Droylsden	42	6	9	81	46	+35	80 2
3	Accrington Stanley	42	10	10	80	53	+27	76
4	Whitley Bay	42	11	10	93	59	+38	74
5	Emley	42	9	13	70	42	+28	69
6	Congleton Town	42	12	10	65	53	+12	69 3
7	Winsford United	42	10	14	65	53	+12	64
8	Curzon Ashton	42	11	14	66	60	+6	62
9	Harrogate Town	42	9	16	68	62	+6	60
10	Lancaster City	42	14	13	73	54	+19	59
11	Eastwood Town	42	11	15	61	64	−3	58
12	Farsley Celtic	42	6	19	71	76	−5	57
13	Rossendale United	42	9	18	73	69	+4	54
14	Newtown	42	12	16	49	62	−13	54
15	Irlam Town	42	11	17	61	66	−5	53
16	Workington	42	8	20	56	64	−8	50
17	Radcliffe Borough	42	7	21	47	62	−15	49
18	Alfreton Town	42	8	21	59	85	−26	47
19	Worksop Town	42	5	24	56	95	−39	44
20	Netherfield	42	6	25	56	89	−33	39
21	Eastwood Hanley	42	6	26	45	76	−31	36
22	Penrith	42	9	24	44	88	−44	36
