Year	Network	Play-by-play	Color commentator(s)	Pregame host
2009	ESPN	JP Dellacamera	John Harkes	Rob Stone
2009	GolTV Canada	JP Dellacamera	John Harkes	Rob Stone
2008	ABC	JP Dellacamera	John Harkes	Rob Stone
2008	CBC	Nigel Reed	Jason DeVos	Brenda Irving
2007	ABC	Dave O'Brien	Eric Wynalda and Julie Foudy	Rob Stone
2007	bold	Dave O'Brien	Eric Wynalda and Julie Foudy	Rob Stone
2006	ABC	Dave O'Brien	Eric Wynalda and Bruce Arena	Rob Stone
2005	ABC	JP Dellacamera	Eric Wynalda	Rob Stone
2004	ABC	JP Dellacamera	Eric Wynalda	Rob Stone
2003	ABC	JP Dellacamera	Marcelo Balboa	Rob Stone
2002	ABC	JP Dellacamera	Ty Keough	Rob Stone
2001	ABC	Jack Edwards	Ty Keough	Rob Stone
2000	ABC	Jack Edwards	Ty Keough	Rob Stone
