Year	Author	English title	Original title	Representing
1962	Johnson Eyvind Johnson	The Days of his Grace	Hans nådes tid	Sweden
1963	Linna Väinö Linna	Reconciliation: Under The North Star 3	Täällä Pohjantähden alla 3	Finland
1964	Vesaas Tarjei Vesaas	The Ice Palace	Is-slottet	Norway
1965	Lagercrantz Olof Lagercrantz	From Hell to Paradise	Från Helvetet till Paradiset	Sweden
1965	Heinesen William Heinesen	The Good Hope	Det gode Håb	Faroe Islands
1966	Ekelöf Gunnar Ekelöf	Diwan on the Prince of Emgion	Dīwān över Fursten av Emgión	Sweden
1967	Borgen Johan Borgen	Nye noveller	Nye noveller	Norway
1968	Sundman Per Olof Sundman	Flight of the Eagle	Ingenjör Andrées luftfärd	Sweden
1969	Enquist Per Olov Enquist	The Legionnaires	Legionärerna	Sweden
1970	Rifbjerg Klaus Rifbjerg	Anna, I, Anna	Anna, jeg, Anna	Denmark
1971	Hansen Thorkild Hansen	Islands of Slaves	Slavernes øer	Denmark
1972	Vennberg Karl Vennberg	Sju ord på tunnelbanan	Sju ord på tunnelbanan	Sweden
1973	Meri Veijo Meri	Kersantin poika	Kersantin poika	Finland
1974	Sørensen Villy Sørensen	Uden mål - og med	Uden mål - og med	Denmark
1975	Salama Hannu Salama	Siinä näkijä missä tekijä	Siinä näkijä missä tekijä	Finland
1976	Sigurðsson Ólafur Jóhann Sigurðsson	Að laufferjum og Að brunnum	Að laufferjum og Að brunnum	Iceland
1977	Carpelan Bo Carpelan	I de mörka rummen, i de ljusa	I de mörka rummen, i de ljusa	Finland
1978	Fløgstad Kjartan Fløgstad	Dalen Portland	Dalen Portland	Norway
1979	Lo-Johansson Ivar Lo-Johansson	Pubertet	Pubertet	Sweden
1980	Lidman Sara Lidman	Vredens barn	Vredens barn	Sweden
1981	Hjartarson Snorri Hjartarson	Hauströkkrið yfir mér	Hauströkkrið yfir mér	Iceland
1982	Delblanc Sven Delblanc	Samuels bok	Samuels bok	Sweden
1983	Seeberg Peter Seeberg	Om fjorten dage	Om fjorten dage	Denmark
1984	Tunström Göran Tunström	The Christmas Oratorio	Juloratoriet	Sweden
1985	Tuuri Antti Tuuri	A Day in Ostrobothnia	Pohjanmaa	Finland
1986	Patursson Rói Patursson	Líkasum	Líkasum	Faroe Islands
1987	Wassmo Herbjørg Wassmo	Hudløs himmel	Hudløs himmel	Norway
1988	Vilhjálmsson Thor Vilhjálmsson	Justice Undone	Grámosinn glóir	Iceland
1989	Solstad Dag Solstad	Roman 1987	Roman 1987	Norway
1990	Tranströmer Tomas Tranströmer	For the Living and the Dead	För levande och döda	Sweden
1991	Valkeapää Nils-Aslak Valkeapää	The Sun, My Father	Beaivi, áhčážan	Sami language area
1992	Sigurðardóttir Fríða Á. Sigurðardóttir	Night Watch	Meðan nóttin liður	Iceland
1993	Hultberg Peer Hultberg	Byen og verden	Byen og verden	Denmark
1994	Ekman Kerstin Ekman	Blackwater	Händelser vid vatten	Sweden
1995	Guðmundsson Einar Már Guðmundsson	Angels of the Universe	Englar alheimsins	Iceland
1996	Lønn Øystein Lønn	Hva skal vi gjøre i dag og andre noveller	Hva skal vi gjøre i dag og andre noveller	Norway
1997	Willumsen Dorrit Willumsen	Bang. En roman om Herman Bang	Bang. En roman om Herman Bang	Denmark
1998	Forsström Tua Forsström	After Having Spent a Night Among Horses	Efter att ha tillbringat en natt bland hästar	Finland
1999	Tafdrup Pia Tafdrup	Queen's Gate	Dronningeporten	Denmark
2000	Nordbrandt Henrik Nordbrandt	Drømmebroer	Drømmebroer	Denmark
2001	Kjærstad Jan Kjærstad	The Discoverer	Oppdageren	Norway
2002	Christensen Lars Saabye Christensen	The Half Brother	Halvbroren	Norway
2003	Ström Eva Ström	Revbensstäderna	Revbensstäderna	Sweden
2004	Hotakainen Kari Hotakainen	Juoksuhaudantie	Juoksuhaudantie	Finland
2005	Sjón	The Blue Fox	Skugga-Baldur	Iceland
2006	Sonnevi Göran Sonnevi	The Ocean	Oceanen	Sweden
2007	Stridsberg Sara Stridsberg	Drömfakulteten	Drömfakulteten	Sweden
2008	Aidt Naja Marie Aidt	Bavian	Bavian	Denmark
2009	Petterson Per Petterson	I Curse the River of Time	Jeg forbanner tidens elv	Norway
2010	Oksanen Sofi Oksanen	Purge	Puhdistus	Finland
2011	Elíasson Gyrðir Elíasson	Milli trjánna	Milli trjánna	Iceland
2012	Lindstrøm Merethe Lindstrøm	Days in the History of Silence	Dager i stillhetens historie	Norway
2013	Leine Kim Leine	The Prophets of Eternal Fjord	Profeterne fra Evighedsfjorden	Denmark
