Japanese Title	Developer	Publisher	Genre	Console(s)	Initial Release Date
Ranma ½ Kakuren Bodesu Match	Banpresto	Banpresto	Puzzle (Maze)	Game Boy JP	1990/06/28 June 28, 1990
Ranma ½	NCS	Masaya	Fighting (Side Scrolling)	PC Engine JP	1990/12/07 December 7, 1990
Ranma ½: Battle Renaissance	Altelier-Sai	Shogakukan	Fighting	PlayStation JP	1996/12/06 December 6, 1996
Ranma ½: Toraware no Hanayome	NCS	Masaya	Digital Comic	PC Engine JP	1991/12/06 December 6, 1991
Ranma ½: Kakugeki Mondou!!	Banpresto	Banpresto	RPG (Quiz)	Game Boy JP	1993/08/06 August 6, 1993
Fever Ranma ½: Onsen Asurechikku Hen	Sankyo	Sankyo	Arcade	Pachinko JP	2011/02 February 2011
Ranma ½: Hiryu Densetsu	Microvision	Bothtec	Text Adventure	PC-98 JP MSX JP	1992
Ranma ½: Bakuretsu Rantōhen	Atelier Double	Masaya DTMC	Fighting	SF JP SNES NA EU	1992/12/25 December 25, 1992
Ranma ½: Akaneko-dan teki Hihou	Rumic Soft	Toho Company Ltd.	RPG	SF JP	1993/10/22 October 22, 1993
Ranma ½: Datou, Ganso Musabetsu Kakutou-ryuu!	NCS	Masaya	Fighting (Side Scrolling)	PC Engine JP	1992/10/02 October 2, 1992
Ranma ½: Ougi Jaanken	Rumic Soft	Rumic Soft	Puzzle (Paper-Rock-Scissors/Tetris)	SF JP PC-98 JP	1995/07/21 July 21, 1995
Ranma ½: Chōnai Gekitōhen	NCS Irem	Masaya Irem	Fighting	SF JP SNES NA	1992/03/27 March 27, 1992
Ranma ½: Chougi Rambuhen	Rumic Soft	Toho Company Ltd.	Fighting	SF JP	1994/04/28 April 28, 1994
Ranma ½: Netsuretsu Kakutouhen	Banpresto	Banpresto	RPG (Fighter)	Game Boy JP	1992/07/17 July 17, 1992
Ranma ½: Byakuran Aika	NCS	Masaya	Digital Comic	Mega-CD JP	1993/04/23 April 23, 1993
