Date	Opponent	Score	Decision	Attendance	Record
December 1	@ Minnesota Wild	6 - 5	Budaj	18,568	12-12-0
December 4	@ Nashville Predators	3 - 2	Budaj	12,717	12-13-0
December 5	@ Dallas Stars	2 - 1	Budaj	16,651	12-13-1
December 7	Vancouver Canucks	5 - 4	Budaj	13,411	13-13-1
December 9	Los Angeles Kings	6 - 1	Budaj	14,122	14-13-1
December 12	Chicago Blackhawks	4 - 3	Budaj	17,569	14-14-1
December 15	@ Detroit Red Wings	3 - 2	Raycroft	19,154	15-14-1
December 16	@ Philadelphia Flyers	5 - 2	Budaj	19,219	15-15-1
December 18	@ Tampa Bay Lightning	2 - 1	Raycroft	16,333	16-15-1
December 21	@ Florida Panthers	3 - 0	Budaj	16,132	16-16-1
December 23	Phoenix Coyotes	5 - 4	Raycroft	14,625	17-16-1
December 27	Detroit Red Wings	4 - 3	Budaj	18,007	18-16-1
December 29	Nashville Predators	5 - 1	Budaj	15,643	19-16-1
December 31	@ Phoenix Coyotes	3 - 1	Budaj	15,008	19-17-1
