Rider	Manufacturer	Laps	Time	Grid
Álvaro Bautista	Aprilia	20	42:56.428	2
Hiroshi Aoyama	KTM	20	+2.586	1
Marco Simoncelli	Gilera	20	+8.343	3
Yuki Takahashi	Honda	20	+11.032	8
Aleix Espargaro	Aprilia	20	+13.846	6
Alex Debon	Aprilia	20	+14.274	9
Roberto Locatelli	Gilera	20	+15.101	15
Ratthapark Wilairot	Honda	20	+16.987	5
Thomas Luthi	Aprilia	20	+25.356	14
Lukas Pesek	Aprilia	20	+26.846	13
Fabrizio Lai	Gilera	20	+49.907	12
Karel Abraham	Aprilia	20	+50.088	18
Alex Baldolini	Aprilia	20	+1:05.816	17
Simone Grotzkyj	Gilera	20	+1:15.544	19
Imre Toth	Aprilia	20	+1:19.905	16
Manuel Hernandez	Aprilia	20	+1:35.890	21
Daniel Arcas	Honda	20	+2:00.717	22
Doni Tata Pradita	Yamaha	20	+2:28.842	20
Mattia Pasini	Aprilia	15	Retirement	11
Julian Simon	KTM	11	Retirement	7
Mika Kallio	KTM	5	Retirement	4
Héctor Faubel	Aprilia	4	Accident	10
