Episode	Airdate	Rating	Share	18-49 (Rating/Share)	Viewers (m)	Rank (#)
"Pilot"	October 7, 2007	1.2	2	0.4/1	1.65	99/110
"Ubuntu"	October 14, 2007	0.7	1	0.3/1	1.06	100/110
"Open for Business"	October 21, 2007	1.1	2	0.5/1	1.61	96/107
"Heritage Day"	October 28, 2007	0.8	1	0.4/1	1.10	95/97
"Bad to the Bone"	November 4, 2007	0.8	1	0.4/1	1.07	98/100
"Games People Play"	November 11, 2007	1.0	2	0.4/1	1.35	99/101
"The Heart Wants What It Wants"	November 18, 2007	1.0	2	0.4/1	1.39	99/101
"Animal House"	December 2, 2007	0.9	1	0.4/1	1.25	96/98
"The Code"	December 9, 2007	0.8	1	0.4/1	1.11	100/102
"Rescue Me"	January 6, 2008	0.6	1	0.3/1	0.85	92/94
"Love Life"	January 20, 2008	0.6	1	0.2/.5	0.80	TBA
"P.O.C."	January 27, 2008	0.8	1	0.4/1	1.11	TBA
"Home"	February 3, 2008	0.6	1	0.2/0	0.75	TBA
