Date	Visitor	Score	Home	Decision	Attendance	Record	Points
November 1	Montreal Canadiens	5–4	New York Islanders	Price	14,429	8–1–1	17
November 7	Montreal Canadiens	3–4 SO	Columbus Blue Jackets	Halak	14,603	8–1–2	18
November 8	Montreal Canadiens	3–6	Toronto Maple Leafs	Price	19,512	8–2–2	18
November 11	Ottawa Senators	0–4	Montreal Canadiens	Price	21,273	9–2–2	20
November 13	Montreal Canadiens	1–6	Boston Bruins	Price	16,816	9–3–2	20
November 15	Philadelphia Flyers	2–1	Montreal Canadiens	Halak	21,273	9–4–2	20
November 16	Montreal Canadiens	3–2 SO	St. Louis Blues	Price	19,150	10–4–2	22
November 18	Montreal Canadiens	1–2	Carolina Hurricanes	Price	12,164	10–5–2	22
November 20	Montreal Canadiens	3–2 SO	Ottawa Senators	Price	20,475	11–5–2	24
November 22	Boston Bruins	3–2 SO	Montreal Canadiens	Price	21,273	11–5–3	25
November 24	New York Islanders	4–3 SO	Montreal Canadiens	Price	21,273	11–5–4	26
November 26	Montreal Canadiens	3–1	Detroit Red Wings	Price	20,066	12–5–4	28
November 28	Montreal Canadiens	0–3	Washington Capitals	Halak	18,277	12–6–4	28
November 29	Buffalo Sabres	2–3	Montreal Canadiens	Price	21,273	13–6–4	30
