Name	Nation	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
Mark Barham	England	MF	1	0	0	0	0	0	0	0	1	0
Junior Bent	England	MF	14 (8)	5	3	1	0	0	2	0	19 (8)	6
Malcolm Brown	England	DF	1	0	0	0	0 (1)	0	0	0	1 (1)	0
Mick Byrne	Republic of Ireland	FW	29 (8)	7	2 (1)	0	0 (1)	0	2	1	13 (10)	8
Mike Cecere	England	FW	28 (3)	4	4	0	0	0	4	1	36 (3)	5
Andy Duggan	England	DF	14	2	0	0	0	0	0	0	14	2
Paul France	England	DF	2 (1)	0	0	0	0	0	1	0	3 (1)	0
Steve Hardwick	England	GK	46	0	4	0	2	0	3	0	55	0
Micky Holmes	England	MF	3 (4)	0	0	0	1	0	0	0	4 (4)	0
Chris Hutchings	England	DF	41	5	4	0	2	0	4	0	51	5
Chris Marsden	England	MF	10 (4)	1	0 (2)	0	2	0	3	0	15 (6)	1
Lee Martin	England	GK	0	0	0	0	0	0	0 (1)	0	0 (1)	0
Craig Maskell	England	FW	46	28	4	1	2	2	4	2	56	33
Andy May	England	MF	45	2	4	1	1	0	4	0	54	3
Ian McInerney	England	MF	5 (5)	1	0	0	0 (1)	0	0	0	5 (6)	1
Graham Mitchell	England	DF	33 (1)	0	4	0	2	1	3	0	42 (1)	1
Ken O'Doherty	Republic of Ireland	DF	37	1	4	0	1	0	3	0	45	1
Kieran O'Regan	Republic of Ireland	MF	36	2	4	1	2	0	4	0	46	3
Malcolm Shotton	England	DF	2	1	0	0	2	0	0	0	4	1
Mark Smith	England	Fw	17 (3)	2	0	0	0	0	0	0	17 (3)	2
Simon Trevitt	England	DF	35 (4)	0	1	0	2	1	1	0	39 (4)	1
Gordon Tucker	England	DF	11 (1)	0	0 (1)	0	1 (1)	0	1 (1)	0	13 (4)	0
Peter Ward	England	FW	1 (3)	0	0	0	0 (1)	0	0	0	1 (4)	0
Julian Winter	England	MF	35	2	4	0	0	0	4	0	43	2
Peter Withe	England	FW	14 (12)	0	2 (1)	1	2	0	0 (2)	1	18 (15)	2
