Direction	Name	Japanese	Terminals	Length (km)
Main	■ Nagoya Line	名古屋本線	Toyohashi - Meitetsu-Gifu	99.8
Gifu West	■ Hashima Line	羽島線	Shin Hashima - Egira	1.3
Gifu West	■ Takehana Line	竹鼻線	Kasamatsu - Egira	10.3
Gifu West	■ Bisai Line	尾西線	Yatomi - Tamanoi	30.9
Gifu West	■ Tsushima Line	津島線	Sukaguchi - Tsushima	11.8
Gifu East	■ Kakamigahara Line	各務原線	Meitetsu-Gifu - Shin-Unuma	17.6
Gifu East	■ Inuyama Line 1	犬山線	Biwajima Junction - Shin-Unuma	26.8
Gifu East	■ Hiromi Line	広見線	Inuyama - Mitake	22.3
Toyohashi West	■ Chikkō Line	築港線	Ōe - Higashi Nagoyako	1.5
Toyohashi West	■ Tokoname Line	常滑線	Jingū-mae - Tokoname	29.3
Toyohashi West	■ Airport Line	空港線	Tokoname - Central Japan Int'l Airport	4.2
Toyohashi West	■ Kōwa Line	河和線	Ōtagawa - Kōwa	28.8
Toyohashi West	■ Chita New Line	知多新線	Fuki - Utsumi	13.9
Toyohashi East	■ Toyota Line 1	豊田線	Umetsubo - Akaike	15.2
Toyohashi East	■ Mikawa Line	三河線	Sanage - Hekinan	39.8
Toyohashi East	■ Nishio Line	西尾線	Shin Anjō - Kira Yoshida	24.7
Toyohashi East	■ Gamagōri Line	蒲郡線	Kira Yoshida - Gamagōri	17.6
Toyohashi East	■ Toyokawa Line	豊川線	Kō - Toyokawa-Inari	7.2
Independent	■ Seto Line	瀬戸線	Sakaemachi - Owari Seto	20.6
Independent	■ Komaki Line 2	小牧線	Kamiiida - Inuyama	20.4
