Rnd	Circuit	Lites 1 Race One Winning Team	Lites 2 Race One Winning Team	Lites 1 Race Two Winning Team	Lites 2 Race Two Winning Team
1	Sebring	#21 Inspire Motorsports	#23 Factory 48 Motorsports	#13 Inspire Motorsports	#75 BERG Racing
1	Sebring	Charlie Shears	Lee Alexander	Gary Gibson	John Weisberg
2	Laguna Seca	#37 Intersport Racing	#75 BERG Racing	#11 Performance Tech	#75 BERG Racing
2	Laguna Seca	James Kovacic	John Weisberg	Johnny Meriggi	John Weisberg
3	New Jersey	#21 Inspire Motorsports	#23 Factory 48 Motorsports	#12 Eurosport Racing	#75 BERG Racing
3	New Jersey	Charlie Shears	Lee Alexander	Matt Downs	John Weisberg
4	Miller	#66 Gunnar Racing	#23 Factory 48 Motorsports	#4 Eurosport Racing	#23 Factory 48 Motorsports
4	Miller	Frankie Montecalvo	Lee Alexander	Antonio Downs	Lee Alexander
5	Lime Rock	#13 Inspire Motorsports	#75 BERG Racing	not held	not held
5	Lime Rock	Gary Gibson	John Weisberg	not held	not held
6	Road America	#34 Eurosport Racing	#75 BERG Racing	#4 Eurosport Racing	#07 Clueless Racing
6	Road America	Jon Brownson	John Weisberg	Antonio Downs	Rick Bartuska
7	Mosport	#21 CORE Autosport	#75 BERG Racing	#79 Eurosport Racing	#75 BERG Racing
7	Mosport	Charlie Shears	John Weisberg	Lucas Downs	John Weisberg
8	Road Atlanta	#13 CORE Autosport	#10 WEST Racing	#8 Performance Tech	#75 BERG Racing
