Year	First	Second	Third	Fourth
2013	Stanislav Khristenko Russia	Arseny Tarasevich-Nikolaev Russia	François Dumont France	Jiayan Sun China
2011	Alexander Schimpf Germany	Alexei Chernov Russia	Eric Zuber USA	Kyu Yeon Kim South Korea
2009	Martina Filjak Croatia	Dmitri Levkovich Canada	William Youn South Korea	Evgeny Brakhman Russia
2007	Alexander Ghindin Russia	Yaron Kohlberg Israel	Alexandre Moutouzkine Russia	Ran Dank Israel
2005	Chu-Fang Huang China	Sergey Kuznetsov Russia	Stanislav Khristenko Russia	Spencer Myer USA
2003	Kotaro Fukuma Japan	Soyeon Lee South Korea	Konstantin Soukhovetski Russia	Andrius Zlabys Lithuania
2001	Roberto Plano Italy	Minsoo Sohn South Korea	Özgür Aydin Turkey	Gilles Vonsattel Switzerland
1999	Antonio Pompa-Baldi Italy	Vassily Primakov Russia	Shoko Inoue Japan	Sean Botkin USA
1997	Per Tengstrand Sweden	Gulnora Alimova Uzbekistan	Ning An China	Dror Biran Israel
1995	Margarita Shevchenko Russia	Marina Lomazov / Ukraine / USA	Dmitri Teterin Russia	Giampaolo Stuani Italy
1993	Amir Katz Israel	Not awarded	Seizo Azuma and Japan Yuko Nakamichi Japan	Katsunori Ishii Japan
1991	Ilya Itin Russia	Anders Martinson USA	Markus Pawlik Germany	Jean-François Bouvery France
1989	Sergei Babayan ( ) Armenia ( USSR )	Nicholas Angelich USA	Megumi Kaneko Japan	Pascal Godart France
1987	Thierry Huillet France	Asaf Zohar Israel	Jonathan Bass USA	Beatrice Hsin-Chen Long / Taiwan / China
1985	Daejin Kim South Korea	Benedetto Lupo Italy	Hélène Jeanney France	Neil Rutman USA
1983	Youngshin An South Korea	Mayumi Kameda Japan	Stéphane Lemelin Canada	Roy Kogan USA
1981	Philippe Bianconi France	Dan Riddle USA	Rémy Loumbrozo France	Roy Kogan USA
1979	Edward Newman USA	Jean-Yves Thibaudet France	Angela Hewitt Canada	Frederick Blum USA
1977	Nathalie Bera-Tagrine France	Barry Salwen USA	Douglas Montgomery USA	Laura Silverman USA
1975	John Owings USA	Julian Martin USA	John-Patrick Millow France	Roe Van Boskirk USA
