Rank 	Largest U.S. City 	Total	Partners 	Other
1	Chicago	3,805	714	638
2	Chicago	3,746	1,248	1,255
3	New York	2,407	839	268
4	Washington	2,253	799	0
5	New York	2,014	592	109
6	New York	1,906	424	0
7	New York	1,832	414	60
8	Pittsburgh	1,762	907	79
9	New York	1,699	913	202
10	Chicago	1,592	631	170
11	Chicago	1,523	585	86
12	Pittsburgh	1,486	705	95
13	Chicago	1,442	664	0
14	Philadelphia	1,300	459	77
15	Cleveland	1,231	447	135
16	New York	1,183	191	242
17	New York	1,153	295	39
18	New York	1,138	503	49
19	San Francisco	1,049	371	109
20	New York	1,040	304	122
21	Los Angeles	1,039	309	44
22	San Francisco	1,025	341	150
23	Chicago	984	515	103
24	Boston	977	271	76
25	Chicago	928	373	34
26	Richmond	918	431	136
27	Washington	908	514	60
28	Washington	884	297	40
29	St. Louis	884	349	191
30	New York	881	244	107
31	Milwaukee	874	463	47
32	Boston	855	328	113
33	San Francisco	851	434	109
34	New York	834	212	27
35	New York	820	182	50
36	Atlanta	813	304	154
37	Houston	810	345	129
38	Atlanta	806	352	63
39	Los Angeles	804	459	6
40	Washington	791	301	62
41	New York	785	334	97
42	New York	769	161	46
43	Los Angeles	766	196	25
44	New York	764	171	68
45	Boston	754	307	61
46	Richmond	752	333	70
47	Seattle	747	372	66
48	Philadelphia	747	246	77
49	New York	737	126	147
50	Chicago	733	363	101
51	Cleveland	733	342	147
52	Houston	722	268	48
53	Washington	707	230	89
54	Houston	703	273	48
55	New York	703	219	58
56	Washington	676	217	106
57	New York	648	143	60
58	New York	647	146	121
59	Los Angeles	644	342	52
60	Boston	626	320	66
61	Philadelphia	619	356	49
62	Washington	615	309	60
63	Palo Alto	613	229	47
64	Atlanta	597	271	66
65	Palo Alto	589	168	60
66	New York	585	131	74
67	Boston	585	241	84
68	New York	585	147	19
69	Chicago	584	317	33
70	Philadelphia	579	262	62
71	Atlanta	576	273	46
72	Memphis	546	281	88
73	Greenville, South Carolina	543	298	68
74	Dallas	540	302	45
75	Minneapolis	531	264	49
76	St. Louis	520	327	29
77	Philadelphia	503	246	39
78	Kansas City	503	282	55
79	Los Angeles	496	233	37
80	New York	495	141	0
81	Dallas	493	223	55
82	Winston-Salem, North Carolina	491	314	55
83	Washington	491	233	75
84	Washington	488	256	51
85	New York	476	80	62
86	Philadelphia	473	227	52
87	Kansas City	472	201	104
88	Chicago	472	309	0
89	Philadelphia	472	260	37
90	Miami	471	251	75
91	Philadelphia	471	286	21
92	Indianapolis	469	313	52
93	Philadelphia	469	218	36
94	New York	464	101	88
95	Washington	445	181	122
96	Seattle	436	272	31
97	Philadelphia	434	245	5
98	Chicago	433	192	26
99	New York	427	149	82
100	Minneapolis	425	199	67
101	Atlanta	424	195	75
102	Washington	422	148	108
103	Houston	422	193	0
104	Phoenix	419	209	18
105	Pittsburgh	415	192	78
106	Columbia, South Carolina	414	257	46
107	Milwaukee	413	253	10
108	Cincinnati	412	226	25
109	Omaha	409	248	41
110	New York	405	126	69
111	San Francisco	403	180	0
112	Denver	394	205	60
113	Cincinnati	393	236	44
114	Boston	391	203	26
115	Newark, New Jersey	378	192	17
116	Atlanta	375	168	38
117	Portland, Oregon	374	224	25
118	Washington	371	147	29
119	New York	371	84	4
120	Birmingham, Alabama	359	235	7
121	New York	355	108	79
122	New Orleans	353	191	77
123	Boston	353	164	21
124	Houston	349	179	43
125	Cleveland	347	188	43
126	Columbus, Ohio	345	163	63
127	San Francisco	343	123	3
128	Washington	343	156	48
129	Richmond	342	222	41
130	Pittsburgh	334	217	23
131	Chicago	331	193	46
132	Los Angeles	326	190	49
133	New York	325	104	39
134	Detroit	321	167	67
135	Dallas	321	213	19
136	Washington	315	163	20
137	Hartford	314	148	79
138	Chicago	310	193	37
139	New York	310	60	99
140	St. Louis	309	206	7
141	New York	306	60	15
142	New York	305	96	29
143	New York	303	131	3
144	New York	301	166	8
145	New York	293	105	11
146	Dallas	291	147	49
147	Kansas City	290	148	56
148	Morristown, New Jersey	286	108	74
149	Tampa	280	168	18
150	New York	280	66	15
151	Kansas City	275	175	30
152	New York	275	123	15
153	Indianapolis	274	154	22
154	Charlotte, North Carolina	272	151	37
155	Washington	271	133	47
156	New Orleans	269	119	27
157	New Orleans	267	171	34
158	Richmond	267	187	0
159	Cincinnati	266	172	18
160	Irvine	265	134	2
161	Washington	264	112	14
162	Dallas	258	144	24
163	Orlando	257	168	29
164	New York	255	97	47
165	Detroit	254	152	13
166	Mountain View	248	88	0
167	New York	245	78	30
168	Roseland, New Jersey	245	105	68
169	Indianapolis	244	140	41
170	Minneapolis	244	100	21
171	Chicago	242	148	0
172	Dallas	240	146	25
173	St. Louis	238	126	32
174	Minneapolis	237	122	51
175	Atlanta	237	143	19
176	Birmingham, Alabama	232	142	24
177	Birmingham, Alabama	232	136	25
178	Columbus, Ohio	230	139	32
179	Charleston, West Virginia	230	97	86
180	Detroit	220	175	5
181	Toledo	219	150	15
182	Indianapolis	219	121	31
183	Philadelphia	219	132	0
184	Louisville	218	118	23
185	Grand Rapids, Michigan	217	113	53
186	Philadelphia	216	94	20
187	Denver	214	125	17
188	Akron	213	136	5
189	Baltimore	213	119	35
190	Miami	212	160	10
191	Dallas	212	126	38
192	Boston	210	95	21
193	Hartford	206	102	42
194	Philadelphia	205	103	25
195	Charlotte, North Carolina	205	110	31
196	Orlando	205	36	169
197	Chicago	203	124	13
198	Haddonfield, New Jersey	203	124	15
199	Milwaukee	202	125	12
200	Newark, New Jersey	200	102	25
201	Los Angeles	199	123	3
