Name	Years	Seasons	Lost	Pct.
J.H. Brown	1908–1909	1	3	.000
F.E. Schofield	1909–1910	1	1	.000
No coach	1910–1911	1	1	.500
James G. Driver	1911–1913	2	7	.417
John Blackburn	1913–1914	1	4	.550
L.W. Hill	1914–1915	1	7	.286
Charles C. Farrell	1915–1916	1	6	.400
Dixon Foster	1916–1920	4	31	.456
Sol Metzger	1920–1921	1	11	.389
Lana A. Sims	1921–1922	1	12	.368
Jack Crawford	1922–1924	2	22	.436
Branch Bocock	1924–1927	3	16	.673
A. Burnet Stoney	1927–1928	1	12	.400
A.W. Norman	1928–1932 1933–1935	6	57	.500
Billy Laval	1932–1933	1	2	.895
Ted Petoskey	1935–1940	5	67	.354
Frank Johnson	1940–1943 1946–1958	14.5	175	.499
Rex Enright	1943	1	6	.647
Lt. Henry Findley	1943–1944	1	2	.867
Johnny McMillan	1944–1945	1	3	.864
Dick Anderson	1945–1946	0.5	8	.333
Walt Hambrick	1958–1959	1	20	.167
Bob Stevens	1959–1962	3	45	.430
Chuck Noe	1962–1963	1.5	21	.417
Dwane Morrison	1964	0.5	8	.333
Frank McGuire	1964–1980	16	142	.666
Bill Foster	1980–1986	6	79	.538
George Felton	1986–1991	5	62	.584
Steve Newton	1991–1993	2	35	.364
Eddie Fogler	1993–2001	8	117	.513
Dave Odom	2001–2008	7	104	.552
Darrin Horn	2008–2012	4	63	.488
Frank Martin	2012–present	1	0	.000
All-Time	All-Time	103	1128	.533
