Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 2	@ San Antonio	W 89–77 (OT)	Allen Iverson , Rasheed Wallace (19)	Tayshaun Prince (12)	Rodney Stuckey (7)	AT&T Center 17,582	11–6
18	December 5	Philadelphia	L 91–96 (OT)	Richard Hamilton (19)	Rasheed Wallace , Kwame Brown (8)	Allen Iverson (7)	The Palace of Auburn Hills 22,076	11–7
19	December 7	@ New York	L 92–104 (OT)	Tayshaun Prince (23)	Tayshaun Prince (10)	Allen Iverson (7)	Madison Square Garden 19,763	11–8
20	December 9	@ Washington	L 94–107 (OT)	Richard Hamilton (29)	Tayshaun Prince (11)	Rodney Stuckey (11)	Verizon Center 14,707	11–9
21	December 12	Indiana	W 114–110 (OT)	Richard Hamilton (28)	Rasheed Wallace (6)	Allen Iverson (12)	The Palace of Auburn Hills 22,076	12–9
22	December 13	@ Charlotte	W 90–86 (OT)	Allen Iverson (20)	Tayshaun Prince , Antonio McDyess (6)	Rodney Stuckey (10)	Time Warner Cable Arena 17,373	13–9
23	December 17	Washington	W 88–74 (OT)	Allen Iverson (28)	Tayshaun Prince (10)	Rodney Stuckey (11)	The Palace of Auburn Hills 22,076	14–9
24	December 19	Utah	L 114–120 (2OT)	Allen Iverson (38)	Rasheed Wallace (8)	Allen Iverson (7)	The Palace of Auburn Hills 22,076	14–10
25	December 21	@ Atlanta	L 78–85 (OT)	Rasheed Wallace , Rodney Stuckey (20)	Rodney Stuckey (9)	Allen Iverson (6)	Philips Arena 15,233	14–11
26	December 23	Chicago	W 104–98 (OT)	Rodney Stuckey (40)	Tayshaun Prince , Antonio McDyess (11)	Allen Iverson (8)	The Palace of Auburn Hills 22,076	15–11
27	December 26	Oklahoma City	W 90–88 (OT)	Allen Iverson (22)	Tayshaun Prince (11)	Rodney Stuckey , Richard Hamilton (4)	The Palace of Auburn Hills 22,076	16–11
28	December 27	@ Milwaukee	W 87–76 (OT)	Tayshaun Prince (19)	Rasheed Wallace (12)	Rodney Stuckey , Allen Iverson (6)	Bradley Center 17,086	17–11
29	December 29	Orlando	W 88–82 (OT)	Rodney Stuckey (19)	Antonio McDyess (8)	Antonio McDyess (5)	The Palace of Auburn Hills 22,076	18–11
30	December 31	New Jersey	W 83–75 (OT)	Allen Iverson (19)	Jason Maxiell (9)	Tayshaun Prince (5)	The Palace of Auburn Hills 22,076	19–11
