Block A	Antonio Thomas	Hikaru Sato	Hiroshi Yamato	Kaz Hayashi	Minoru	Super Crazy
Antonio Thomas	X	Thomas (8:42)	Yamato (11:15)	Hayashi (14:46)	Tanaka (10:49)	Crazy (7:38)
Hikaru Sato	Thomas (8:42)	X	Sato (8:42)	Hayashi (9:35)	Tanaka (8:09)	Sato (10:01)
Hiroshi Yamato	Yamato (11:15)	Sato (8:42)	X	Yamato (12:55)	Minoru (10:54)	Yamato (Forfeit)
Kaz Hayashi	Hayashi (14:46)	Sato (9:35)	Yamato (12:55)	X	Minoru (15:03)	Draw (30:00)
Minoru	Tanaka (10:49)	Tanaka (8:09)	Tanaka (10:54)	Hayashi (15:03)	X	Crazy (7:34)
Super Crazy	Crazy (7:38)	Sato (10:01)	Yamato (Forfeit)	Draw (30:00)	Crazy (7:34)	X
Block B	BUSHI	Jimmy Yang	KAI	MAZADA	Shuji Kondo	Taka Michinoku
BUSHI	X	BUSHI (7:03)	KAI (13:17)	BUSHI (4:49)	Kondo (13:24)	Michinoku (10:51)
Jimmy Yang	BUSHI (7:03)	X	KAI (8:29)	Yang (10:00)	Yang (6:25)	Yang (8:36)
KAI	KAI (13:17)	KAI (8:29)	X	KAI (Forfeit)	KAI (9:22)	Michinoku (8:55)
MAZADA	BUSHI (4:49)	Yang (10:00)	KAI (Forfeit)	X	MAZADA (9:15)	MAZADA (6:18)
Shuji Kondo	Kondo (13:24)	Yang (6:52)	KAI (9:22)	MAZADA (9:15)	X	Kondo (10:03)
Taka Michinoku	Michinoku (10:51)	Yang (8:36)	Michinoku (8:55)	MAZADA (6:18)	Kondo (10:03)	X
