Episode	First aired	Entrepreneur(s)	Company or product name	Money requested (£)	Investing Dragon(s)
Episode 1	31 July 2011	Georgette Hewitt	The Present Club	60,000	Peter Jones and Theo Paphitis
Episode 1	31 July 2011	Chris Hopkins	Ploughcroft Solar	120,000	Deborah Meaden and Theo Paphitis
Episode 2	7 August 2011	Christian Hartmann, Martin McLaughlin, Tom Callard	Love Da Pop	70,000	Peter Jones
Episode 2	7 August 2011	Liz and Alan Colleran	Raskelf Memory Foam (Duvalay)	80,000	Hilary Devey
Episode 3	14 August 2011	Peter and Michelle Hart	Fun Fancy Dress	100,000	Duncan Bannatyne
Episode 4	21 August 2011	Bob Davis	Unique Ideas UK	50,000	Hilary Devey
Episode 4	21 August 2011	Robert Lewis	Rollersigns	100,000	Peter Jones
Episode 5	28 August 2011	Kate Castle	BoginaBag	50,000	Theo Paphitis
Episode 5	28 August 2011	Henry Buckley and JJ Harding	JogPost Limited	50,000	Deborah Meaden
Episode 6	4 September 2011	Andy Bates	AB Performance	50,000	Peter Jones
Episode 7	12 September 2011	Nick Cross, Richard Hadden and Sebastian Stoddart	barMate	50,000	Deborah Meaden and Theo Paphitis
Episode 7	12 September 2011	Simon Booth	Kiddimoto	75,000	Hilary Devey and Duncan Bannatyne
Episode 8	19 September 2011	Ryan Ashmore and Liam Webb	RKA Records	50,000	Duncan Bannatyne
Episode 8	19 September 2011	Aidan Quinn and Gemma Roe	EcoHab Homes and O-Pod Buildings	75,000	Theo Paphitis
Episode 9	26 September 2011	Andrea McDowall and Rebecca Baldwin	Shoot It Yourself	60,000	Hilary Devey
Episode 10	3 October 2011	Helen Waterston	Innovative Gadgets Ltd. (Roastcosy)	70,000	Peter Jones and Deborah Meaden
