Team	Driver	Laps	Time	Grid
India	Narain Karthikeyan	45	1:08'30.759	3
New Zealand	Jonny Reid	45	+0.502	10
South Africa	Adrian Zaugg	45	+4.128	9
Germany	Michael Ammermüller	45	+4.907	5
Great Britain	Oliver Jarvis	45	+5.267	2
Switzerland	Neel Jani	45	+14.516	1
France	Loïc Duval	45	+18.572	4
Czech Republic	Tomas Enge	45	+27.140	16
China	Cong Fu Cheng	45	+27.579	6
USA	Jonathan Summerton	45	+33.388	7
Mexico	David Garza Perez	45	+49.353	22
Portugal	João Urbano	45	+1'03.831	12
Lebanon	Chris Alajajian	44	+1 Lap	15
Pakistan	Adam Langley-Khan	44	+1 Lap	17
Australia	Ian Dyk	42	+3 Laps	19
Ireland	Adam Carroll	27	Collision	13
Indonesia	Satrio Hermanto	19	Accident	20
Netherlands	Jeroen Bleekemolen	9	Suspension	18
Canada	Robert Wickens	3	Accident	11
Italy	Edoardo Piscopo	1	Damage	21
Brazil	Sérgio Jimenez	1	Damage	14
Malaysia	Ashswin Subbiah	0	Collision	8
