Couple	Score	Style	Music	Result
Marlee & Fabian	21 (7, 7, 7)	Jive	" You May Be Right "— Billy Joel	Safe
Steve & Anna	21 (7, 7, 7)	Tango	"Jalousie"—Alfred Hause's Tango Orchestra	Eliminated
Cristián & Cheryl	25 (8, 8, 9)	Jive	" Don't Stop Me Now "— Queen	Safe
Mario & Karina	21 (7, 6, 8)	Tango	"El Tango de Roxanne"— Moulin Rouge! soundtrack	Last to be called safe
Shannon & Derek	24 (8, 8, 8)	Jive	" Goody Two Shoes "— Adam Ant	Safe
Adam & Julianne	21 (7, 7, 7)	Tango	" I Can't Tell A Waltz From A Tango "— Alma Cogan	Safe
Marissa & Tony	19 (6, 7, 6)	Jive	" Girlfriend "— Avril Lavigne	Safe
Priscilla & Louis	26 (8, 9, 9)	Tango	" El Choclo "— Lalo Schifrin	Safe
Jason & Edyta	23 (8, 7, 8)	Jive	" I Got a Woman "— Ray Charles	Safe
Kristi & Mark	27 (9, 9, 9)	Tango	" Rio "— Duran Duran	Safe
