Rank	Nation	Gold	Silver	Bronze	Total
1	Israel	228	194	172	594
2	United States	73	85	69	227
3	Russia	15	18	18	51
4	South Africa	13	8	8	29
5	Canada	11	15	21	47
6	Venezuela	6	2	2	10
7	Ukraine	5	2	2	9
8	Brazil	4	1	5	10
9	Australia	3	8	27	38
10	Argentina	3	4	6	13
11	Germany	2	5	2	9
12	Hungary	2	2	4	8
13	Netherlands	2	0	0	2
14	Mexico	1	7	19	27
15	United Kingdom	1	7	15	23
16	France	1	4	3	8
17	Georgia	1	1	1	3
18	Latvia	1	1	0	2
19	Portugal	1	0	1	2
20	Belarus	1	0	0	1
20	Italy	1	0	0	1
22	Sweden	0	1	3	4
23	Poland	0	1	0	1
23	Austria	0	1	0	1
25	Azerbaijan	0	0	3	3
26	Chile	0	0	1	1
26	Costa Rica	0	0	1	1
26	India	0	0	1	1
26	Romania	0	0	1	1
26	Switzerland	0	0	1	1
26	Turkey	0	0	1	1
Total	Total	375	367	387	1,129
