Rank	Nation	Gold	Silver	Bronze	Total
1	Marit Bjørgen ( NOR )	4	1	0	5
2	Jason Lamy-Chappuis ( FRA )	3	0	1	4
3	Therese Johaug ( NOR )	2	1	1	4
4	Petter Northug ( NOR )	2	1	0	3
5	Nikita Kriukov ( RUS )	2	0	0	2
5	Sébastien Lacroix ( FRA )	2	0	0	2
7	Johan Olsson ( SWE )	1	2	0	3
7	Gregor Schlierenzauer ( AUT )	1	2	0	3
9	Dario Cologna ( SUI )	1	1	0	2
9	Thomas Morgenstern ( AUT )	1	1	0	2
9	Sara Takanashi ( JPN )	1	1	0	2
12	Eric Frenzel ( GER )	1	0	1	2
12	Tord Asle Gjerdalen ( NOR )	1	0	1	2
12	Sjur Røthe ( NOR )	1	0	1	2
12	Kamil Stoch ( POL )	1	0	1	2
12	Heidi Weng ( NOR )	1	0	1	2
17	Ida Ingemarsdotter ( SWE )	0	3	0	3
18	Bernhard Gruber ( AUT )	0	2	0	2
18	Marcus Hellner ( SWE )	0	2	0	2
18	Charlotte Kalla ( SWE )	0	2	0	2
21	Richard Freitag ( GER )	0	1	1	2
21	Severin Freund ( GER )	0	1	1	2
21	Peter Prevc ( SVN )	0	1	1	2
21	Jacqueline Seifriedsberger ( AUT )	0	1	1	2
25	Yuliya Chekaleva ( RUS )	0	0	2	2
25	Alexey Poltoranin ( KAZ )	0	0	2	2
