Rank	Heat (Lane)	Name	Nationality	Time
1	16 (5)	Natalie Coughlin	USA	00: 54.04
2	16 (7)	Erica Morningstar	Canada	00: 54.30
3	16 (4)	Lisbeth Lenton	Australia	00: 54.32
4	17 (4)	Britta Steffen	Germany	00: 54.60
5	15 (2)	Josefin Lillhage	Sweden	00: 54.74
6	17 (5)	Jodie Henry	Australia	00: 54.76
7	17 (6)	Fran Halsall	Great Britain	00: 54.80
8	15 (5)	Marleen Veldhuis	Netherlands	00: 54.89
9	15 (4)	Amanda Weir	USA	00: 55.03
10	16 (3)	Alena Popchanka	France	00: 55.11
11	15 (6)	Yanwei Xu	China	00: 55.24
12	17 (2)	Hanna-Maria Seppälä	Finland	00: 55.33
13	14 (7)	Ranomi Kromowidjojo	Netherlands	00: 55.38
14	16 (2)	Malia Metella	France	00: 55.57
15	15 (7)	Aleksandra Gerasimenya	Belarus	00: 55.59
16	17 (1)	Vanessa García	Puerto Rico	00: 55.69
17	12 (4)	Jeanette Ottesen	Denmark	00: 55.99
18	16 (6)	Pang Jiaying	China	00: 56.03
18	17 (8)	Lauren Boyle	New Zealand	00: 56.03
20	12 (6)	Ragnheidur Ragnarsdottir	Iceland	00: 56.06
21	13 (1)	Jana Myskova	Czech Republic	00: 56.24
22	16 (8)	Victoria Poon	Canada	00: 56.30
23	13 (3)	Arlene Semeco	Venezuela	00: 56.35
24	14 (6)	Keo Ra Lee	South Korea	00: 56.44
25	13 (4)	Sviatlana Khakhlova	Belarus	00: 56.52
25	15 (3)	Martina Moravcová	Slovakia	00: 56.52
27	11 (3)	Ganna Dzerkal	Ukraine	00: 56.53
28	17 (7)	Cristina Chiuso	Italy	00: 56.56
29	15 (8)	Magdalena Kuras	Sweden	00: 56.58
30	13 (5)	Jana Kolukanova	Estonia	00: 56.67
31	12 (3)	Birgit Koschischek	Austria	00: 56.75
32	12 (1)	Elina Partõka	Estonia	00: 56.90
32	14 (5)	Flávia Delaroli	Brazil	00: 56.90
34	10 (8)	Karin Prinsloo	South Africa	00: 57.06
35	14 (8)	Hannah Wilson	Hong Kong	00: 57.08
36	12 (7)	Miroslava Najdanovski	Serbia	00: 57.11
36	16 (1)	Ionela Cozma	Romania	00: 57.11
38	14 (2)	Jorina Aerents	Belgium	00: 57.18
39	13 (7)	Haruka Ueda	Japan	00: 57.21
40	14 (3)	Petra Klosova	Czech Republic	00: 57.28
41	12 (2)	Oxana Serikova	Ukraine	00: 57.29
42	13 (2)	Chin Kuei Yang	Chinese Taipei	00: 57.30
43	12 (5)	Olga Shulgina	Russia	00: 57.48
44	10 (5)	Melanie Nocher	Ireland	00: 57.72
45	11 (6)	Caroline Pickering Puamau	Fiji	00: 57.85
45	14 (4)	Emily Vavourakis	Belgium	00: 57.85
47	13 (8)	Pin Chieh Nieh	Chinese Taipei	00: 57.93
48	8 (1)	Heather Brand	Zimbabwe	00: 57.95
49	12 (8)	Jiratida Phinyosophon	Thailand	00: 58.03
50	11 (5)	Sarah Yasmine Chahed	Tunisia	00: 58.07
51	11 (8)	Loren Bahamonde	Ecuador	00: 58.21
52	11 (4)	Hang Yu Sze	Hong Kong	00: 58.25
53	9 (4)	Madeleine Scerri	Malta	00: 58.47
54	9 (3)	Carolina Colorado	Colombia	00: 58.60
55	14 (1)	Heysi Villarreal Navarro	Cuba	00: 58.61
56	9 (6)	Natasha Moodie	Jamaica	00: 58.65
57	11 (7)	Anna Stylianou	Cyprus	00: 58.78
58	10 (6)	Alexia Pamela Benitez Quijada	El Salvador	00: 58.84
59	10 (2)	Charlotte Johannsen	Denmark	00: 58.85
60	10 (7)	Chui Bin Mylene Ong	Singapore	00: 59.01
61	10 (3)	Ximena Vilar	Venezuela	00: 59.10
62	10 (4)	Nicole Marmol Gilbert	Ecuador	00: 59.25
63	11 (1)	Pannika Prachgosin	Thailand	00: 59.48
64	7 (1)	Sharntelle McLean	Trinidad and Tobago	00: 59.51
65	11 (2)	Cecilia Elizabeth Biagioli	Argentina	00: 59.52
66	10 (1)	Shu Yong Ho	Singapore	00: 59.55
67	8 (3)	Anna-Liza Mopio-Jane	Papua New Guinea	00: 59.84
68	9 (7)	Irina Shlemova	Uzbekistan	00: 59.90
69	9 (1)	Raffaella Rodoni Palma	Chile	1:00.08
70	8 (5)	Kimberly Eeson	Zimbabwe	1:00.09
70	8 (8)	Ellen Hight	Zambia	1:00.09
72	7 (5)	Marianella Quesada Barrantes	Costa Rica	1:00.10
73	6 (5)	Felicia Leksono	Indonesia	1:00.49
74	8 (4)	Cheok Mei Ma	Macau	1:00.52
75	7 (8)	Marie Laura Meza Peraza	Costa Rica	1:00.69
76	7 (6)	Elena Popovska	Macedonia	1:00.73
77	8 (6)	Nancy Suryaatmadja	Indonesia	1:00.80
78	9 (5)	Khadija Ciss	Senegal	1:01.05
79	3 (6)	Kshipra Mahajan	India	1:01.51
80	6 (1)	Ximene Vaz Gomez	Mozambique	1:01.55
80	6 (8)	Davina Mangion	Malta	1:01.55
82	6 (2)	Tuesday Watts	Grenada	1:01.60
83	4 (8)	Jessica Teixeira Vieira	Mozambique	1:01.78
84	7 (4)	Ngozi Monu	Nigeria	1:01.88
85	5 (3)	Emma Hunter	Samoa	1:01.89
86	6 (7)	Jonay Briedenhann	Namibia	1:02.04
87	6 (4)	Maria Alejandra Torres	Peru	1:02.17
88	6 (6)	Nilshaira Isenia	Netherlands Antilles	1:02.18
89	5 (2)	Parita Parekh	India	1:02.27
90	8 (2)	Miriam Hatamleh	Jordan	1:02.29
91	8 (7)	Rachel Ah Koy	Fiji	1:02.41
92	7 (2)	Fiorella Gomez−Sanchez	Peru	1:02.52
93	5 (5)	Tojohanitra Andriamanjatoprimamama	Madagascar	1:02.60
94	5 (4)	Nicole Ellsworth	Papua New Guinea	1:02.89
95	6 (3)	Matana Wellman	Zambia	1:02.99
96	4 (1)	Mona Simonsen	Faroe Islands	1:03.01
97	3 (5)	Dashtserengiin Saintsetseg	Mongolia	1:03.04
98	4 (4)	Shannon Austin	Seychelles	1:03.09
99	5 (6)	Marike Meyer	Namibia	1:03.46
100	7 (3)	Sook Fun Chai	Malaysia	1:03.69
101	5 (1)	Rovena Marku	Albania	1:03.72
102	4 (2)	Dalia Massiel Torrez Zamora	Nicaragua	1:03.84
103	4 (7)	Karen Torrez	Bolivia	1:04.04
104	7 (7)	Razan Taha	Jordan	1:04.06
105	3 (4)	Binta Zahra Diop	Senegal	1:04.09
106	4 (5)	Ekaterina Mamatkulova	Uzbekistan	1:04.17
107	4 (6)	Dohi Eliane Droubry	Ivory Coast	1:04.47
108	2 (4)	Kiran Khan	Pakistan	1:04.69
109	2 (5)	Rachel Lannen	Guam	1:05.23
110	5 (8)	Uche Monu	Nigeria	1:05.34
111	4 (3)	Anouchka Diane Etiennette	Mauritius	1:05.65
112	5 (7)	Prisca Rose	Mauritius	1:05.70
113	3 (1)	Stephanie Anne Maitland	Seychelles	1:06.12
114	3 (8)	Batjargalyn Telmen	Mongolia	1:06.28
115	2 (7)	Sarah Elizabeth Johnson	Northern Mariana Islands	1:06.56
116	2 (2)	Pina Ercolano	Kenya	1:06.58
117	3 (3)	Herinantenaina Ravoajanahary	Madagascar	1:06.90
118	2 (6)	Hussain Aminath Rouya	Maldives	1:07.11
119	2 (8)	April Chang	Samoa	1:07.61
120	3 (2)	Sameera Albitar	Brunei	1:09.07
121	1 (4)	Olivia Aya Nakitanda	Uganda	1:09.76
122	2 (1)	Julianne Kirchner	Marshall Islands	1:10.62
123	1 (3)	Amber Sikosang Yobech	Palau	1:10.65
124	1 (2)	Maria Gibbons	Palau	1:14.76
125	1 (1)	Ruth Magdalena Moshi	Tanzania	1:15.87
126	1 (5)	Olga Hachatryan	Turkmenistan	1:16.91
127	1 (7)	Aminath Inas Ismail	Maldives	1:22.74
128	2 (3)	Nahed Akhlif	Libya	1:25.88
999	1 (6)	Katerina Izmailova	Tajikistan	999
999	3 (7)	Ana Roxiero	Angola	999
999	9 (2)	Chanelle van Wyk	South Africa	999
999	13 (6)	Maria Fuster Martinez	Spain	999
999	15 (1)	Soraya Abdourahmane	Mauritania	999
999	17 (3)	Petra Dallmann	Germany	999
999	9 (8)	Sharon Paolo Fajardo Sierra	Honduras	999
