Game	Date	Opponent	Score	Location	Attendance	Record	Points
36	January 3	Toronto Maple Leafs	3–1 (L)	Toronto	19,406	13–18–5	31
37	January 4	New Jersey Devils	4–3 (OT)	Newark	14,798	13–18–6	32
38	January 6	Buffalo Sabres	4–2 (L)	Buffalo	18,690	13–19–6	32
39	January 8	Boston Bruins	6–4 (L)	Boston	16,464	13–20–6	32
40	January 10	New York Rangers	2–0(L)	Scotiabank Place	19,029	13–21–6	32
41	January 13	Carolina Hurricanes	5–1(W)	Scotiabank Place	18,512	14–21–6	34
42	January 14	Atlanta Thrashers	3–2(W)	Atlanta	14,163	15–21–6	36
43	January 17	Montreal Canadiens	4–5(SO)	Scotiabank Place	20,413	15–21–7	37
44	January 20	Washington Capitals	3–2(W)	Scotiabank Place	20,125	16–21–7	39
45	January 27	New Jersey Devils	4–1(L)	Scotiabank Place	18,786	16–22–7	39
46	January 29	St. Louis Blues	3–1(W)	St. Louis	18,639	17–22–7	41
47	January 30	Columbus Blue Jackets	1–0(L)	Columbus	17,080	17–23–7	41
