Round #	Pick #	Player	Position	College
25	San Francisco 49ers	Dexter Carter	Running Back	Florida State
48	San Francisco 49ers	Dennis Brown	Defensive End	Washington
54	San Francisco 49ers	Eric Davis	Cornerback	Jacksonville State
69	San Francisco 49ers	Ronald Lewis	Wide Receiver	Florida State
93	San Francisco 49ers	Dean Caliguire	Center	Pittsburgh
166	San Francisco 49ers	Frank Pollack	Tackle	Northern Arizona
221	San Francisco 49ers	Dwight Pickens	Wide Receiver	Fresno State
249	San Francisco 49ers	Odell Haggins	Defensive Tackle	Florida State
277	San Francisco 49ers	Martin Harrison	Defensive End	Washington
290	San Francisco 49ers	Anthony Shelton	Safety	Tennessee State
