Team	Location	Venue	Capacity	Position in 2002
BATE	Borisov	City Stadium, Borisov	5,500	1
Neman	Grodno	Neman	6,300	2
Shakhtyor	Soligorsk	Stroitel	5,000	3
Torpedo-SKA	Minsk	Torpedo, Minsk	5,200	4
Torpedo	Zhodino	Torpedo, Zhodino	3,020	5
Gomel	Gomel	Central	11,800	6
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	7
Belshina	Bobruisk	Spartak, Bobruisk	3,550	8
Dnepr-Transmash	Mogilev	Spartak, Mogilev	11,200	9
Dinamo Brest	Brest	OSK Brestskiy	10,080	10
Slavia	Mozyr	Yunost	5,500	11
Zvezda-VA-BGU	Minsk	Traktor	17,600	12
Molodechno-2000	Molodechno	City Stadium, Molodechno	5,500	13
Darida	Minsk Raion	Darida	6,000	First league , 1
Naftan	Novopolotsk	Atlant	6,500	First league , 2
Lokomotiv	Minsk	Lokomotiv	800	First league , 3
