Outcome	Tournament	Surface	Partnering	Score in the final
Runner-up	$10,000 Tipton, Great Britain	Hard (i)	Melanie South Category:Articles with hCards	4–6, 2–6
Runner-up	$10,000 Hull, Great Britain	Hard (i)	Melanie South Category:Articles with hCards	6–4, 3–6, 5–7
Runner-up	$25,000 Jersey, Great Britain	Hard (i)	Melanie South Category:Articles with hCards	3–6, 1–6
Winner	$25,000 Madrid, Spain	Hard	Sorana Cîrstea Category:Articles with hCards	6–4, 6–4
Runner-up	$25,000 Nottingham, Great Britain	Hard	Margit Rüütel Category:Articles with hCards	2–6, 6–2, 6–7 (1–7)
Winner	$25,000 Jersey, Great Britain	Hard (i)	Margit Rüütel Category:Articles with hCards	7–5, 6–4
Runner-up	$25,000 Glasgow, Great Britain	Hard (i)	Margit Rüütel Category:Articles with hCards	4–6, 3–6
Runner-up	$25,000 Istanbul, Turkey	Hard (i)	Sorana Cîrstea Category:Articles with hCards	W/O
Runner-up	$25,000 Jersey, Great Britain	Hard (i)	Georgie Stoop Category:Articles with hCards	0–6, 4–6
Runner-up	$25,000 Sutton, Great Britain	Hard (i)	Rebecca Marino Category:Articles with hCards	3–6, 3–6
Runner-up	$50,000 Nottingham, Great Britain	Grass	Naomi Broady Category:Articles with hCards	3–6, 6–2, [7–10]
