Pick #	Player	Position	Nationality	NHL team	College/junior/club team
11	Chris Govedaris	Left Wing	Canada	Hartford Whalers	Toronto Marlboros (OHL)
32	Barry Richter	Defence	United States	Hartford Whalers	Culver Military Academy (USHS-IN)
74	Dean Dyer	Centre	Canada	Hartford Whalers	Lake Superior State University (NCAA)
95	Scott Morrow	Left Wing	United States	Hartford Whalers	Northwood School (USHS-NY)
137	Kerry Russell	C	Canada	Hartford Whalers	Michigan State University (NCAA)
158	Jim Burke	D	United States	Hartford Whalers	University of Maine (NCAA)
179	Mark Hirth	C	United States	Hartford Whalers	Michigan State University (NCAA)
200	Wayde Bucsis	LW	Canada	Hartford Whalers	Prince Albert Raiders (WHL)
221	Rob White	D	Canada	Hartford Whalers	St. Lawrence University (NCAA)
242	Dan Slatalla	C	United States	Hartford Whalers	Deerfield Academy (USHS-MA)
