-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Ashley Engli	Claudia Nathalia	Jamie Lee Thomas	Megan Elizabeth*	Melisa Jackson
February	Megan Hauserman	Shannon Marie	Elena Daniels	Sheena Lee*	[Month Ended]
March	Triana Iglesias	Jurgita Valts*	Lijon Jones	Ambra Jones	[Month Ended]
April	Celine Mrazovich	Mandy Lynn	Amanda Duncan*	Shannon Shay	[Month Ended]
May	Alison Foran	Breann McGregor **	Thea Coleman	Victoria Lynn Melody	Elisa Prevot
June	Erica Campbell*	Kristin Queen	Crystal Pierce	Kristin Vye Cardenas	[Month Ended]
July	Victoria Stevens	Candice Cassidy*	Brittney Cox	Nikki Rose	Stephanie Rotuna
August	Amanda Quagliata	Shannon Sunderlin *	Laura Grillo	Anna Nava	[Month Ended]
September	Kortnie O'Connor*	Jennifer Lynn	Brandie Moses	Annie Bronson	[Month Ended]
October	Candi Marie	Nancy Erminia*	Cidney Carson	Debra Ling	Katie Jones
November	Crystal Alice	Amanda Corey	Ashlee Jae*	Roxanne Dawn	[Month Ended]
