Season	Season premiere	Season finale	TV season	Viewer rank (#)	Households/Viewers (in millions)
1	September 19, 1994	May 18, 1995	1994–1995	#2	19.08
2	September 21, 1995	May 16, 1996	1995–1996	#1	21.10
3	September 26, 1996	May 15, 1997	1996–1997	#1	20.56
4	September 25, 1997	May 14, 1998	1997–1998	#2	30.2
5	September 24, 1998	May 20, 1999	1998–1999	#1	25.4
6	September 30, 1999	May 18, 2000	1999–2000	#4	24.95
7	October 12, 2000	May 17, 2001	2000–2001	#2	22.4
8	September 27, 2001	May 16, 2002	2001–2002	#3	22.1
9	September 26, 2002	May 15, 2003	2002–2003	#6	19.99
10	September 25, 2003	May 13, 2004	2003–2004	#8	19.04
11	September 23, 2004	May 19, 2005	2004–2005	#16	15.17
12	September 22, 2005	May 18, 2006	2005–2006	#30	12.06
13	September 21, 2006	May 17, 2007	2006–2007	#40	11.56
14	September 27, 2007	May 15, 2008	2007–2008	#54	9.20
15	September 25, 2008	April 2, 2009	2008–2009	#37	10.30
