Draw	Language	Artist	Song	Place	Points
01	Montenegrin	Stefan Filipović	" Zauvijek volim te "	14	23
02	Hebrew , English	Boaz Ma'uda	" The Fire in Your Eyes "	5	104
03	Serbian , German , Finnish	Kreisiraadio	" Leto svet "	18	8
04	English	Geta Burlacu	" A Century of Love "	12	36
05	Italian	Miodio	" Complice "	19	5
06	Imaginary	Ishtar	" O Julissi "	17	16
07	English	Elnur and Samir	" Day After Day "	6	96
08	Slovene	Rebeka Dremelj	" Vrag naj vzame "	11	36
09	English	Maria Haukaas Storeng	" Hold On Be Strong "	4	106
10	English	Isis Gee	" For Life "	10	42
11	English , French [A ]	Dustin the Turkey	" Irelande Douze Pointe "	15	22
12	English , Catalan	Gisela	" Casanova "	16	22
13	Bosnian	Laka	" Pokušaj "	9	72
14	English , Armenian	Sirusho	" Qélé, Qélé " (Քելե Քելե)	2	139
15	English	Hind	" Your Heart Belongs to Me "	13	27
16	Finnish	Teräsbetoni	" Missä miehet ratsastaa "	8	79
17	Romanian , Italian	Nico and Vlad	" Pe-o margine de lume "	7	94
18	English	Dima Bilan	" Believe "	3	135
19	English	Kalomira	" Secret Combination "	1	156
