Position	Team	Played	Wins	Draws P.K. Wins / P.K. Losses	Losses	Scored	Conceded	Points
1	Olimpia	12	7	4/0	1	22	7	29
2	Cerro Porteño	12	7	1/0	4	23	15	23
3	Sol de América	12	6	0/2	4	11	8	20
4	Libertad	12	5	0/5	2	17	13	20
5	San Lorenzo	12	5	1/2	4	15	17	19
6	Guaraní	12	5	1/2	4	18	15	19
7	Presidente Hayes	12	4	3/0	5	13	17	18
8	Sportivo Luqueño	12	5	0/1	6	15	22	16
9	Nacional	12	3	2/3	4	16	21	16
10	Sport Colombia	12	2	3/3	4	17	15	15
11	Tembetary	12	4	1/1	6	14	16	15
12	Atl. Colegiales	12	3	2/0	7	9	15	13
