Name	Tour	Giro	Vuelta	Total
Jacques Anquetil ( FRA )	6	6	1	13
Bernard Hinault ( FRA )	7	3	2	12
Eddy Merckx ( BEL )	6	5	1	12
Felice Gimondi ( ITA )	2	9	1	12
Miguel Induráin ( ESP )	5	3	1	9
Laurent Fignon ( FRA )	3	2	1	6
Carlos Sastre ( ESP )	2	1	3	6
Tony Rominger ( SUI )	1	1	4	6
Alberto Contador ( ESP )	2	1	2	5
Cadel Evans ( AUS )	3	1	1	5
Denis Menchov ( RUS )	2	1	2	5
Vincenzo Nibali ( ITA )	1	3	1	5
Jose Manuel Fuente ( ESP )	1	1	2	4
Joaquim Rodríguez ( ESP )	1	1	2	4
Herman Van Springel ( BEL )	1	1	1	3
