Year	Competition	Venue	Position	Event
2000	World Junior Championships	Santiago de Chile	3rd	800 m
2001	European Junior Championships	Grosseto , Italy	1st	800 m
2002	World Junior Championships	Kingston, Jamaica	2nd	800 m
2003	European U23 Championships	Bydgoszcz , Poland	2nd	800 m
2003	World Championships	Paris , France	10th (sf)	800 m
2004	Olympic Games	Athens , Greece	19th (sf)	800 m
2005	European U23 Championships	Erfurt , Germany	5th	800 m
2005	World Championships	Helsinki , Finland	12th (sf)	800 m
2006	European Championships	Gothenburg , Sweden	10th (sf)	800 m
2007	World Championships	Osaka , Japan	7th (sf)	800 m
2007	World Athletics Final	Stuttgart , Germany	4th	800 m
2008	Olympic Games	Beijing , China	11th (sf)	800 m
2008	World Athletics Final	Stuttgart , Germany	5th	800 m
2009	World Championships	Berlin , Germany	17th (sf)	800 m
2010	European Championships	Barcelona , Spain	4th	800 m
2011	World Championships	Daegu , South Korea	20th (sf)	800 m
2012	European Championships	Helsinki , Finland	6th	800 m
2012	Olympic Games	London , United Kingdom	8th	1500 m
