Year	Date	Home Team	Result	Visiting Team	Venue	Attendance
1960	October 2	San Francisco 49ers	13-9	Los Angeles Rams	Kezar Stadium	53.633
1960	December 4	Los Angeles Rams	7-23	San Francisco 49ers	Los Angeles Memorial Coliseum	77,254
1961	October 8	San Francisco 49ers	35-0	Los Angeles Rams	Kezar Stadium	59,004
1961	November 12	Los Angeles Rams	17-7	San Francisco 49ers	Los Angeles Memorial Coliseum	63,766
1962	October 28	San Francisco 49ers	14-28	Los Angeles Rams	Kezar Stadium	51,033
1962	November 12	Los Angeles Rams	17-24	San Francisco 49ers	Los Angeles Memorial Coliseum	42,554
1963	October 27	Los Angeles Rams	28-21	San Francisco 49ers	Los Angeles Memorial Coliseum	45,532
1963	December 1	San Francisco 49ers	17-21	Los Angeles Rams	Kezar Stadium	33,321
1964	October 18	Los Angeles Rams	42-14	San Francisco 49ers	Los Angeles Memorial Coliseum	54,355
1964	December 6	San Francisco 49ers	28-7	Los Angeles Rams	Kezar Stadium	31,791
1965	October 17	San Francisco 49ers	45-21	Los Angeles Rams	Kezar Stadium	38,615
1965	November 21	Los Angeles Rams	27-30	San Francisco 49ers	Los Angeles Memorial Coliseum	39,733
1966	September 30	Los Angeles Rams	34-3	San Francisco 49ers	Los Angeles Memorial Coliseum	45,642
1966	November 6	San Francisco 49ers	21-13	Los Angeles Rams	Kezar Stadium	35,372
1967	October 8	Los Angeles Rams	24-27	San Francisco 49ers	Los Angeles Memorial Coliseum	60,424
1967	November 5	San Francisco 49ers	7-17	Los Angeles Rams	Kezar Stadium	53,194
1968	October 6	Los Angeles Rams	24-10	San Francisco 49ers	Los Angeles Memorial Coliseum	69,520
1968	November 17	San Francisco 49ers	20-20	Los Angeles Rams	Kezar Stadium	41,815
1969	October 12	San Francisco 49ers	21-27	Los Angeles Rams	Kezar Stadium	45,995
1969	November 9	Los Angeles Rams	41-30	San Francisco 49ers	Los Angeles Memorial Coliseum	73,975
