Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Honda	28	54:12.962	3
Carlos Checa	Yamaha	28	+22.200	1
Tohru Ukawa	Honda	28	+24.220	8
Kenny Roberts, Jr.	Suzuki	28	+40.832	12
Alex Barros	Honda	28	+42.709	4
Max Biaggi	Yamaha	28	+44.064	5
Norifumi Abe	Yamaha	28	+1:49.012	13
John Hopkins	Yamaha	28	+2:03.101	15
Jeremy McWilliams	Proton KR	27	+1 lap	6
Tetsuya Harada	Honda	27	+1 lap	18
Garry McCoy	Yamaha	27	+1 lap	16
Shinya Nakano	Yamaha	27	+1 lap	17
Sete Gibernau	Suzuki	24	Accident	9
Daijiro Kato	Honda	7	Accident	2
Loris Capirossi	Honda	6	Accident	7
Régis Laconi	Aprilia	3	Accident	14
Nobuatsu Aoki	Proton KR	2	Retirement	11
Jurgen vd Goorbergh	Honda	2	Retirement	10
Olivier Jacque	Yamaha	0	Accident	19
Pere Riba	Yamaha	0	Accident	20
