Episode Number	Episode	Original Airdate	Rating	Share	Rating/Share (18–49)	Viewers (millions)	Weekly Rank
10.01	Week 1	March 22, 2010	15.0	23	6.4	24.19	2
10.02	Week 2, Part 1	March 29, 2010	14.4	23	5.6/16	22.966	1
10.03	Week 2, Part 2	March 30, 2010	9.3	15	3.0/9	14.280	5
10.04	Week 3, Part 1	April 5, 2010	13.3	5.1	5.1/14	21.21	2
10.05	Week 3, Part 2	April 6, 2010	8.2	13	2.5/7	12.435	12
10.06	Week 4, Part 1	April 12, 2010	13.2	21	4.9/14	20.56	3
10.07	Week 4, Part 2	April 13, 2010	8.6	14	2.8/8	13.60	6
10.08	Week 5, Part 1	April 19, 2010	13.4	21	4.8/13	21.066	1
10.09	Week 5, Part 2	April 20, 2010	8.8	14	2.4/7	13.556	5
10.10	Week 6, Part 1	April 26, 2010	13.2	21	4.4/12	20.404	1
10.11	Week 6, Part 2	April 27, 2010	8.2	13	2.4/7	12.390	10
10.12	Week 7, Part 1	May 3, 2010	12.5	20	4.1/12	19.641	1
10.13	Week 7, Part 2	May 4, 2010	7.8	13	2.4/7	12.043	11
10.14	Week 8, Part 1	May 10, 2010	12.3	19	4.1/11	19.16	3
10.15	Week 8, Part 2	May 11, 2010	8.1	13	2.5/7	12.515	15
10.16	Week 9, Part 1	May 17, 2010	12.1	19	4.1/11	19.04	1
10.17	Week 9, Part 2	May 18, 2010	8.6	14	2.5/7	13.19	13
10.18	Week 10, Part 1	May 24, 2010	12.6	21	4.0/12	19.36	3
