District	Incumbent	Party	Elected	Status	Opponent
California 5	Nancy Pelosi	Democratic	1987	Re-elected	Nancy Pelosi (D) 77.2% Alan Nichols (R) 22.8%
California 6	Barbara Boxer	Democratic	1982	Re-elected	Barbara Boxer (D) 68.1% Bill Boerum (R) 31.9%
California 7	George Miller	Democratic	1974	Re-elected	George Miller (D) 60.5% Roger A. Payton (R) 39.5%
California 8	Ron Dellums	Democratic	1970	Re-elected	Ron Dellums (D) 61.3% Barbara Galewski (R) 38.7%
California 9	Pete Stark	Democratic	1972	Re-elected	Pete Stark (D) 58.4% Victor Romero (R) 41.6%
California 10	Don Edwards	Democratic	1972	Re-elected	Don Edwards (D) 62.7% Mark Patrosso (R) 37.3%
California 15	Gary Condit	Democratic	1989	Re-elected	Gary Condit (D) 66.2% Cliff Burris (R) 33.8%
California 18	Richard H. Lehman	Democratic	1982	Re-elected	Richard H. Lehman (D) unopposed
California 34	Ed Torres	Democratic	1982	Re-elected	Ed Torres (D) 60.7% John Eastman (R) 39.3%
California 36	George Brown, Jr.	Democratic	1962/1972	Re-elected	George Brown, Jr. (D) 52.7% Bob Hammock (R) 47.3%
California 38	Bob Dornan	Republican	1976/1984	Re-elected	Bob Dornan (R) 58.1% Barbara Jackson (D) 41.9%
California 40	Christopher Cox	Republican	1988	Re-elected	Christopher Cox (R) 67.6% Eugene Gratz (D) 32.4%
