Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Mariners	10 - 6	DePaula (1-1)	45,590	47-60
August 2	@ Mariners	3 - 1	Báez (8-8)	45,995	47-61
August 3	@ Mariners	12 - 4	Wright (0-2)	46,219	47-62
August 4	@ Mariners	10 - 8	Sasaki (2-5)	46,120	48-62
August 6	Devil Rays	4 - 2	Sosa (1-5)	35,302	49-62
August 7	Devil Rays	6 - 2	Sturtze (1-12)	37,888	50-62
August 8	Devil Rays	4 - 2	Báez (8-9)	29,973	50-63
August 9	Rangers	3 - 2	Wohlers (1-2)	41,019	50-64
August 10	Rangers	4 - 3	Kolb (2-1)	37,753	51-64
August 11	Rangers	11 - 5	Nagy (1-3)	36,789	51-65
August 13	@ Devil Rays	9 - 5	Sturtze (1-13)	11,779	52-65
August 14	@ Devil Rays	6 - 4	Wilson (5-8)	10,455	53-65
August 15	@ Devil Rays	4 - 3	Wohlers (1-3)	10,778	53-66
August 16	@ Angels	5 - 4	Drese (9-9)	41,356	53-67
August 17	@ Angels	9 - 4	Washburn (15-4)	39,866	54-67
August 18	@ Angels	4 - 1	Sabathia (8-10)	41,059	54-68
August 19	Athletics	8 - 1	Báez (9-10)	27,696	54-69
August 20	Athletics	6 - 3	Westbrook (1-2)	27,527	54-70
August 21	Athletics	6 - 0	Rodríguez (0-1)	26,916	54-71
August 22	Athletics	9 - 3	Phillips (1-2)	27,759	54-72
August 23	Mariners	4 - 2	Baldwin (7-10)	33,525	55-72
August 24	Mariners	5 - 3	Creek (2-2)	38,086	56-72
August 25	Mariners	12 - 4	Westbrook (1-3)	36,402	56-73
August 26	Tigers	8 - 2	Sparks (8-13)	24,344	57-73
August 27	Tigers	8 - 5	Phillips (1-3)	24,375	57-74
August 28	Tigers	2 - 1	Powell (1-4)	25,158	58-74
August 30	Red Sox	15 - 5	Wright (0-3)	31,986	58-75
August 31	Red Sox	8 - 7	Howry (3-4)	37,908	59-75
