Clubs	Winners	Runners-up	Total finals	Winnig years
Primeiro de Agosto	7	3	10	2002 , 2004 , 2007 , 2008 , 2009 , 2010 , 2012
AS Forces Armées	3	1	4	1975 , 1979 , 1981
ASEC Mimosas	2	2	4	1989 , 2000
Gezira SC	2	0	2	1994 , 1996
Hit Trésor	2	0	2	1973 , 1976
Petro Atlético	1	5	6	2006
Zamalek SC	1	3	4	1992
ES Sahel	1	1	2	2011
Abidjan Basket Club	1	1	2	2005
ASC Jeanne d'Arc	1	1	2	1991
AS Police	1	1	2	1983
MAS Fez	1	0	1	1998
Al-Ittihad Alexandria	1	0	1	1987
C.D. Maxaquene	1	0	1	1985
Red Star	1	0	1	1972
