Year	Number	Team	Co-driver	Position	Laps
1994	015	Holden Racing Team	Brad Jones	2nd	161
1995	015	Holden Racing Team	Greg Murphy	DNF	10
1996	1	Holden Racing Team	Greg Murphy	1st	161
1997	15	Holden Racing Team	Greg Murphy	DNF	38
1998	1	Holden Racing Team	Mark Skaife	6th	159
1999	1	Holden Racing Team	Cameron McConville	2nd	161
2000	1	Holden Racing Team	Mark Skaife	6th	161
2001	00	Gibson Motor Sport	Neil Crompton	17th	156
2002	00	Gibson Motor Sport	Neil Crompton	DNF	127
2003	6	Ford Performance Racing	Glenn Seton	2nd	161
2004	6	Ford Performance Racing	Glenn Seton	2nd	161
2005	888	Triple Eight Race Engineering	Yvan Muller	15th	151
2006	888	Triple Eight Race Engineering	Jamie Whincup	1st	161
2007	888	Triple Eight Race Engineering	Jamie Whincup	1st	161
2008	888	Triple Eight Race Engineering	Jamie Whincup	1st	161
2009	888	Triple Eight Race Engineering	Jamie Whincup	5th	161
2010	888	Triple Eight Race Engineering	Mark Skaife	1st	161
2011	888	Triple Eight Race Engineering	Mark Skaife	2nd	161
2012	888	Triple Eight Race Engineering	Warren Luff	3rd	161
2013	888	Triple Eight Race Engineering	Warren Luff	3rd	161
