Year	Location	Gold	Silver	Bronze
1997	Carrick On Suir	Morgan Fox	David McCann	Raymond Clarke
1998	Collon	Raymond Clarke	David McCann	Ian Chivers
1999	Waterford City	Tommy Evans	Morgan Fox	Eugene Moriarty
2000	Blackpool, Cork	David McCann	Brian Kenneally	Mark Scanlon
2001	Dundrod, Belfast	David McCann (2)	Mark Scanlon	Paddy Moriarty
2002	Stamullen	Mark Scanlon	Ciaran Power	Tommy Evans
2003	Sligo	Mark Scanlon (2)	Denis Lynch	David O'Loughlin
2004	Sligo	David O'Loughlin	David McCann	Nicolas Roche
2005	Belfast	David O'Loughlin (2)	Mark Scanlon	David McCann
2006	Westport	David McCann (3)	Ciaran Power	Paídi O'Brien
2007	Waterford	David O'Loughlin (3)	Paídi O'Brien	Mark Cassidy
2008	Midleton	Daniel Martin	Paídi O'Brien	Brian Kenneally
2009	Dunboyne	Nicolas Roche	David O'Loughlin	Paídi O'Brien
2010	Sligo	Matt Brammeier	Nicolas Roche	Daniel Martin
2011	Emyvale	Matt Brammeier (2)	Daniel Martin	David McCann
2012	Clonmel	Matt Brammeier (3)	Nicolas Roche	Philip Lavery
2013 (169km)	Carlingford	Matt Brammeier (4)	Philip Lavery	Damien Shaw
