Year	Division	League	Reg. Season	Playoffs	Open Cup
1993	Exhibition schedule	Exhibition schedule	Exhibition schedule	Exhibition schedule	Exhibition schedule
1994	3	USISL	2nd, Midwest	Divisional Finals	Did not enter
1995	3	USISL Pro League	1st, Midwest West	Sizzling Nine	Did not qualify
1996	3	USISL Select League	1st, Central	2nd Round	Did not qualify
1997	2	USISL A-League	4th, Central	Champion	Did not qualify
1998	2	USISL A-League	3rd, Central	Conference Quarterfinals	2nd Round
1999	2	USL A-League	5th, Central	Did not qualify	Did not qualify
2000	2	USL A-League	2nd, Central	Conference Finals	Did not qualify
2001	2	USL A-League	3rd, Western	Semifinals	3rd Round
2002	2	USL A-League	1st, Central	Champion	Quarterfinals
