Rnd	Date	Race Name	Length	Track	Location	Pole Position	Winning Driver
1	April 7	Texas 200	mi (km)	Texas World Speedway	College Station , Texas	Bobby Unser	Al Unser
2	April 15	Trentonian 300 Heat 1	mi (km)	Trenton International Speedway	Trenton , New Jersey	Gordon Johncock	A. J. Foyt
3	April 15	Trentonian 300 Heat 2	mi (km)	Trenton International Speedway	Trenton , New Jersey	A. J. Foyt	Mario Andretti
4	May 30	International 500 Mile Sweepstakes	mi (km)	Indianapolis Motor Speedway	Speedway , Indiana	Johnny Rutherford	Gordon Johncock
5	June 10	Rex Mays Classic	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Bobby Unser	Bobby Unser
6	July 1	Schaefer 500	mi (km)	Pocono International Raceway	Long Pond , Pennsylvania	Peter Revson	A. J. Foyt
7	July 15	Michigan 200	mi (km)	Michigan International Speedway	Brooklyn , Michigan	Bobby Unser	Roger McCluskey
8	August 12	Tony Bettenhausen 200	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Wally Dallenbach	Wally Dallenbach
9	August 26	California 500 Qualification Heat 1	mi (km)	Ontario Motor Speedway	Ontario , California	Gordon Johncock	Wally Dallenbach
10	August 26	California 500 Qualification Heat 2	mi (km)	Ontario Motor Speedway	Ontario , California	Johnny Rutherford	Johnny Rutherford
11	September 2	California 500	mi (km)	Ontario Motor Speedway	Ontario , California	Peter Revson	Wally Dallenbach
12	September 16	Michigan Twin 125s #1	mi (km)	Michigan International Speedway	Brooklyn , Michigan	Gordon Johncock	Bill Vukovich II
13	September 16	Michigan Twin 125s #2	mi (km)	Michigan International Speedway	Brooklyn , Michigan	Gary Bettenhausen	Johnny Rutherford
14	September 23	Trenton 200	mi (km)	Trenton International Speedway	Trenton , New Jersey	Gordon Johncock	Gordon Johncock
15	October 6	Texas 200	mi (km)	Texas World Speedway	College Station , Texas	Mario Andretti	Gary Bettenhausen
