Player	Position	Date of Birth (Age)	Caps	Club/province
Huw Bennett	Hooker	11 June 1983	12	Ospreys
Matthew Rees	Hooker	9 December 1980	11	Llanelli Scarlets
T. Rhys Thomas	Hooker	23 April 1982	10	Cardiff Blues
Chris Horsman	Prop	2 February 1978	11	Worcester Warriors
Gethin Jenkins	Prop	17 November 1980	46	Cardiff Blues
Adam Jones	Prop	8 March 1981	41	Ospreys
Duncan Jones	Prop	18 September 1978	38	Ospreys
Ian Evans	Lock	4 October 1984	5	Ospreys
Ian Gough	Lock	10 November 1976	40	Ospreys
Will James	Lock	12 December 1976	1	Gloucester
Alun Wyn Jones	Lock	19 September 1985	11	Ospreys
Colin Charvis	Flanker	27 December 1972	87	Newport Gwent Dragons
Martyn Williams	Flanker	1 September 1975	70	Cardiff Blues
Jonathan Thomas	Flanker	27 December 1982	34	Ospreys
Michael Owen	Number 8	7 November 1980	37	Newport Gwent Dragons
Alix Popham	Number 8	17 October 1979	70	Llanelli Scarlets
Gareth Cooper	Scrum-half	7 May 1979	34	Gloucester
Dwayne Peel ( vc )	Scrum-half	31 August 1981	53	Llanelli Scarlets
Mike Phillips	Scrum-half	29 August 1982	22	Ospreys
Stephen Jones ( vc )	Fly-half	8 December 1977	62	Llanelli Scarlets
Ceri Sweeney	Fly-half	21 January 1980	32	Newport Gwent Dragons
James Hook	Centre	27 June 1985	13	Ospreys
Sonny Parker	Centre	27 August 1977	23	Ospreys
Jamie Robinson	Centre	7 April 1980	20	Cardiff Blues
Tom Shanklin	Centre	24 November 1979	41	Cardiff Blues
Dafydd James	Wing	24 July 1975	46	Llanelli Scarlets
Mark Jones	Wing	7 November 1979	29	Llanelli Scarlets
Shane Williams	Wing	26 February 1977	46	Ospreys
Kevin Morgan	Fullback	23 February 1977	43	Newport Gwent Dragons
Gareth Thomas ( c )	Fullback	25 July 1974	95	Cardiff Blues
