Rank	Manager	Runner-up	Years won	Clubs won
1	Bob Paisley	0	1977 , 1978 , 1981	Liverpool
2	Alex Ferguson	2	1999 , 2008	Manchester United
2	Miguel Muñoz	2	1960 , 1966	Real Madrid
4	Jupp Heynckes	1	1998 , 2013	Real Madrid , Bayern Munich
4	Carlo Ancelotti	1	2003 , 2007	Milan
4	Ottmar Hitzfeld	1	1997 , 2001	Borussia Dortmund , Bayern Munich
4	Ernst Happel	1	1970 , 1983	Feyenoord , Hamburg
4	Helenio Herrera	1	1964 , 1965	Internazionale
9	Josep Guardiola	0	2009 , 2011	Barcelona
9	José Mourinho	0	2004 , 2010	Porto , Internazionale
9	Vicente del Bosque	0	2000 , 2002	Real Madrid
9	Arrigo Sacchi	0	1989 , 1990	Milan
9	Brian Clough	0	1979 , 1980	Nottingham Forest
9	Dettmar Cramer	0	1975 , 1976	Bayern Munich
9	Ștefan Kovács	0	1972 , 1973	Ajax
9	Nereo Rocco	0	1963 , 1969	Milan
9	Béla Guttmann	0	1961 , 1962	Benfica
9	Luis Carniglia	0	1958 , 1959	Real Madrid
9	José Villalonga	0	1956 , 1957	Real Madrid
