Seed	Rank	Player	Points	Points defending	Points won	New points	Status
1	1	Serena Williams	8475	500	500	8475	Quarterfinals lost to Samantha Stosur [7]
2	2	Venus Williams	6386	160	280	6506	4th round lost to Nadia Petrova [19]
3	3	Caroline Wozniacki	5630	160	500	5970	Quarterfinals lost to Francesca Schiavone [17]
4	4	Jelena Janković	5160	280	900	5780	Semifinals lost to Samantha Stosur [7]
5	5	Elena Dementieva	4830	160	900	5570	Semifinals lost to Francesca Schiavone [17]
6	6	Svetlana Kuznetsova	4661	2000	160	2821	3rd round lost to Maria Kirilenko [30]
8	8	Agnieszka Radwańska	4190	280	100	4010	2nd round lost to Yaroslava Shvedova
9	9	Dinara Safina	4156	1400	5	2761	1st round lost to Kimiko Date-Krumm
10	11	Victoria Azarenka	3665	500	5	3170	1st round lost to Gisela Dulko
11	12	Li Na	3515	280	160	3395	3rd round lost to Francesca Schiavone [17]
12	13	Maria Sharapova	3350	500	160	3010	3rd round lost to Justine Henin [22]
13	14	Marion Bartoli	3186	100	160	3246	3rd round lost to Shahar Pe'er [18]
14	15	Flavia Pennetta	3175	5	280	3450	4th round lost to Caroline Wozniacki [3]
15	16	Aravane Rezaï	2875	280	160	2755	3rd round lost to Nadia Petrova [18]
16	17	Yanina Wickmayer	3050	100	160	3110	3rd round lost to Daniela Hantuchová [22]
18	19	Shahar Pe'er	2895	0	280	3175	4th round lost to Serena Williams [1]
19	20	Nadia Petrova	2795	100	500	3195	Quarterfinals lost to Elena Dementieva [5]
20	21	María José Martínez Sánchez	2635	160	5	2480	1st round lost to Akgul Amanmuradova
21	22	Vera Zvonareva	2625	0	100	2725	2nd round lost to Anastasia Rodionova
22	23	Justine Henin	2575	0	280	2855	4th round lost to Samantha Stosur [7]
23	24	Daniela Hantuchová	2010	5	280	2285	4th round lost Jelena Janković [4]
24	25	Lucie Šafářová	2075	100	100	2075	2nd round lost to Polona Hercog
25	26	Zheng Jie	2325	100	100	2325	2nd round lost to Anastasia Pivovarova [Q]
26	27	Dominika Cibulková	2005	900	160	1265	3rd round lost to Venus Williams [2]
27	28	Alona Bondarenko	1700	5	160	1855	3rd round lost to Jelena Janković [4]
28	29	Alisa Kleybanova	1855	5	160	2010	3rd round lost to Yaroslava Shvedova
29	30	Anastasia Pavlyuchenkova	1850	160	160	1850	3rd round lost to Serena Williams [1]
30	31	Maria Kirilenko	1710	5	280	1985	4th round lost to Francesca Schiavone [17]
31	32	Alexandra Dulgheru	1655	0(30)	160	1785	3rd round lost to Caroline Wozniacki [3]
