Player	Round	Overall	NHL Team	MWEHL Team
2003	2003	2003	2003	2003
Player	Round	Overall	NHL Team	MWEHL Team
Ryan Kesler	1	#23	Vancouver Canucks	Detroit Honeybaked
Danny Richmond	2	#31	Carolina Hurricanes	Team Illinois
Dan Fritsche	2	#46	Columbus Blue Jackets	Cleveland Barons
Frank Rediker	4	#118	Boston Bruins	Detroit Compuware
Corey Potter	4	#122	New York Rangers	Detroit Honeybaked
Mike Brown	5	#153	Boston Bruins	Detroit Honeybaked
David Rohlfs	5	#154	Edmonton Oilers	Detroit Compuware
Drew Miller	6	#186	Anaheim Mighty Ducks	Detroit Honeybaked
Dylan Reese	7	#209	New York Rangers	Pittsburgh Hornets
Gerald Coleman	7	#224	Tampa Bay Lightning	Chicago Young Americans
Marty Guerin	9	#274	Los Angeles Kings	Detroit Honeybaked
2004	2004	2004	2004	2004
Grant Lewis	2	#40	Atlanta Thrashers	Pittsburgh Hornets
David Booth	2	#53	Florida Panthers	Detroit Honeybaked
Kevin Porter	4	#119	Phoenix Coyotes	Detroit Honeybaked
Chris Zarb	5	#144	Philadelphia Flyers	Detroit Little Caesars
Gino Pisellini	5	#149	Philadelphia Flyers	Team Illinois
Robbie Earl	6	#187	Toronto Maple Leafs	Detroit Honeybaked
Ian Keserich	7	#215	Columbus Blue Jackets	Cleveland Barons
Matt Hunwick	7	#224	Boston Bruins	Detroit Honeybaked
John Carter	9	#291	Philadelphia Flyers	Detroit Honeybaked
2005	2005	2005	2005	2005
Bobby Ryan	1	#2	Anaheim Mighty Ducks	Detroit Honeybaked
Justin Abdelkader	2	#42	Detroit Red Wings	Detroit Honeybaked
Tom Fritsche	2	#47	Colorado Avalanche	Cleveland Barons
T.J. Hensick	3	#88	Colorado Avalanche	Detroit Honeybaked
Patrick Davis	4	#99	New Jersey Devils	Detroit Belle Tire
Jared Boll	4	#101	Columbus Blue Jackets	Team Illinois
Nathan Davis	4	#913	Chicago Blackhawks	Cleveland Barons
Nathan Gerbe	5	#142	Buffalo Sabres	Detroit Honeybaked
Justin Mercier	6	#168	Colorado Avalanche	Cleveland Barons
Ryan Maki	6	#176	Nashville Predators	Detroit Honeybaked
Ryan McGinnis	6	#184	Los Angeles Kings	Detroit Honeybaked
Kyle Lawson	7	#198	Carolina Hurricanes	Detroit Honeybaked
Matt Clackson	7	#215	Philadelphia Flyers	Pittsburgh Hornets
Pat McGann	7	#223	Dallas Stars	Team Illinois
Zach Bearson	7	#224	Florida Panthers	Team Illinois
2006	2006	2006	2006	2006
Trevor Lewis	1	#17	Los Angeles Kings	Detroit Honeybaked
Mark Mitera	1	#19	Anaheim Mighty Ducks	Detroit Little Caesars
Chris Summers	1	#29	Phoenix Coyotes	Detroit Victory Honda
Nigel Williams	2	#51	Colorado Avalanche	Team Illinois
Jeff Zatkoff	4	#74	Los Angeles Kings	Detroit Honeybaked
Ryan Turek	4	#94	St. Louis Blues	Detroit Honeybaked
Brett Bennett	5	#130	Phoenix Coyotes	Detroit Honeybaked
David Meckler	5	#134	Los Angeles Kings	Chicago Young Americans
Erik Condra	7	#211	Ottawa Senators	Detroit Honeybaked
2007	2007	2007	2007	2007
Patrick Kane	1	#1	Chicago Blackhawks	Detroit Honeybaked
Ian Cole	1	#18	St. Louis Blues	Detroit Victory Honda
Jim O'Brien	1	#29	Ottawa Senators	Detroit Little Caesars
Bill Sweatt	2	#38	Chicago Blackhawks	Team Illinois
Aaron Palushaj	2	#44	St. Louis Blues	Detroit Honeybaked
Jeremy Smith	2	#54	Nashville Predators	Detroit Compuware
Josh Unice	3	#86	Chicago Blackhawks	Detroit Victory Honda
Corey Tropp	3	#89	Buffalo Sabres	Detroit Belle Tire
Steven Kampfer	4	#93	Anaheim Ducks	Detroit Little Caesars
Alec Martinez	4	#95	Los Angeles Kings	Detroit Honeybaked
Matt Rust	4	#101	Florida Panthers	Detroit Honeybaked
Ben Ryan	4	#114	Nashville Predators	Detroit Victory Honda
John Albert	6	#175	Atlanta Thrashers	Cleveland Barons
Brad Phillips	7	#182	Philadelphia Flyers	Detroit Honeybaked
C.J. Severyn	7	#186	Calgary Flames	Pittsburgh Hornets
Trevor Nill	7	#190	St. Louis Blues	Detroit Compuware
2008	2008	2008	2008	2008
Robert Czarnik	3	#63	Los Angeles Kings	Detroit Honeybaked
A.J. Jenks	4	#100	Florida Panthers	Detroit Honeybaked
David Wohlberg	6	#172	New Jersey Devils	Detroit Honeybaked
Tommy Wingels	6	#177	San Jose Sharks	Team Illinois
Zach Redmond	7	#184	Atlanta Thrashers	Detroit Compuware
2009	2009	2009	2009	2009
John Moore	1	#21	Columbus Blue Jackets	Chicago Mission
Chris Brown	2	#36	Phoenix Coyotes	Detroit Honeybaked
Drew Shore	2	#44	Florida Panthers	Detroit Honeybaked
Kenny Ryan	2	#50	Toronto Maple Leafs	Detroit Honeybaked
Kevin Lynch	2	#56	Columbus Blue Jackets	Detroit Honeybaked
Patrick Wey	4	#115	Washington Capitals	Pittsburgh Hornets
Anthony Hamburg	7	#193	Minnesota Wild	Dallas Stars
Paul Phillips	7	#195	Chicago Blackhawks	Chicago Fury
2010	2010	2010	2010	2010
Jack Campbell	1	#11	Dallas Stars	Detroit Honeybaked
Cam Fowler	1	#12	Anaheim Ducks	Detroit Honeybaked
Austin Watson	1	#18	Nashville Predators	Detroit Compuware
Beau Bennett	1	#20	Pittsburgh Penguins	LA Jr. Kings
Jonathon Merrill	2	#38	New Jersey Devils	Detroit Honeybaked
