Rank	Name	City	Height (m)	Height (ft)	Floors
1	Commerzbank Tower	Frankfurt	259.0	849.7	56
2	Messeturm	Frankfurt	256.5	841.5	55
3	Westendstraße 1	Frankfurt	208.0	682.4	53
4	Main Tower	Frankfurt	200.0	656.2	55
4	Tower 185	Frankfurt	200.0	656.2	55
6	Trianon	Frankfurt	186.0	610.2	45
7	European Central Bank Headquarters [A ]	Frankfurt	185.0	607.0	45
8	Opernturm	Frankfurt	170.0	557.7	42
8	Taunusturm [A ]	Frankfurt	170.0	557.7	40
10	Silberturm	Frankfurt	166.3	545.6	32
11	Post Tower	Bonn	162.5	533.1	42
12	Westend Gate	Frankfurt	159.3	522.6	47
13	Deutsche Bank I	Frankfurt	155.0	508.5	40
13	Deutsche Bank II	Frankfurt	155.0	508.5	38
15	Skyper	Frankfurt	153.8	504.6	38
16	Kölnturm	Cologne	148.1	485.9	43
17	Eurotower	Frankfurt	148.0	485.6	39
18	Colonia-Haus	Cologne	147.0	482.3	42
18	Atlantic Hotel Sail City	Bremerhaven	147.0	482.3	23
20	Hochhaus Uptown München	Munich	146.0	479.0	38
21	Jen Tower	Jena	144.5	474.1	32
22	Frankfurter Büro Center	Frankfurt	142.4	467.2	40
23	City-Haus	Frankfurt	142.1	466.2	42
24	City-Hochhaus Leipzig	Leipzig	142.0	465.9	36
25	Büroturm Deutsche Welle	Cologne	138.0	452.8	34
26	Gallileo	Frankfurt	136.0	446.2	38
26	Nextower	Frankfurt	136.0	446.2	32
28	Business Tower Nürnberg	Nürnberg	135.0	442.9	34
29	Uni-Center Köln	Cologne	134.0	439.6	42
30	Pollux	Frankfurt	130.0	426.5	33
31	Garden Tower	Frankfurt	127.0	416.7	25
31	RWE Tower	Essen	127.0	416.7	30
33	Highlight I	Munich	126.0	413.4	33
34	Park Inn Berlin	Berlin	125.0	410	41
34	Treptowers	Berlin	125.0	410.1	32
36	Arag-Tower	Düsseldorf	124.9	409.8	32
37	LVA Hauptgebäude	Düsseldorf	123.0	403.5	29
38	City Tower	Offenbach am Main	120.0	393.7	32
39	Maritim Travemünde	Travemünde	119.0	390.4	35
40	Steglitzer Kreisel	Berlin	118.5	388.5	30
41	Zoofenster	Berlin	118.0	387.1	32
42	Messe Torhaus	Frankfurt	117.0	383.9	30
43	AfE-Turm	Frankfurt	116.0	380.6	38
44	UN-Hochhaus	Bonn	115.0	377.3	31
44	Dorint Hotel Tower	Augsburg	115.0	377.3	35
44	Japan Center	Frankfurt	115.0	377.3	28
44	Park Tower	Frankfurt	115.0	377.3	29
48	Hypo-Haus	Munich	113.7	373.0	27
49	Highlight II	Munich	113.0	370.7	28
50	Westhafen Tower	Frankfurt	112.3	368.4	30
51	TÜV Rheinland	Cologne	112.0	367.5	22
51	IBC Tower	Frankfurt	112.0	367.5	30
53	Büro Center Nibelungenplatz	Frankfurt	110.0	360.9	27
53	Eurotheum	Frankfurt	110.0	360.9	31
53	Elbe Philharmonic Hall [A ]	Hamburg	110.0	360.9	16
56	Ringturm	Cologne	109.1	357.9	26
57	Neue Mainzer Straße 32-36	Frankfurt	108.6	356.3	28
58	Radisson Blu Hotel Hamburg	Hamburg	108.0	354.3	32
58	Victoria-Haus	Düsseldorf	108.0	354.3	29
60	Essen City Hall	Essen	106.0	347.8	23
60	Debis-Haus	Berlin	106.0	347.8	22
62	Land- und Amtsgericht Köln	Cologne	105.0	344.5	25
63	Kölntriangle	Cologne	103.2	338.6	29
64	Europa-Center	Berlin	103.0	337.9	22
64	SV-Hochhaus	Munich	103.0	337.9	28
66	Friedrich-Engelhorn-Hochhaus	Ludwigshafen	102.0	334.6	28
66	Herkules-Hochhaus	Cologne	102.0	334.6	31
66	Kudamm Karree	Berlin	102.0	334.6	20
66	Appartment-Hochhaus am Collini-Center	Mannheim	102.0	334.6	32
66	Deutschlandradio -Turm	Cologne	102.0	334.6	19
71	Mundsburg Turm I	Hamburg	101.4	332.7	29
72	Neckarpromenade Wohnturm I	Mannheim	101.3	332.3	30
72	Neckarpromenade Wohnturm II	Mannheim	101.3	332.3	30
72	Neckarpromenade Wohnturm III	Mannheim	101.3	332.3	30
75	BMW Headquarters	Munich	101.0	331.4	22
75	Maritim Clubhotel	Timmendorfer Strand	101.0	331.4	32
75	Bahntower	Berlin	101.0	331.4	25
75	Kollhoff-Tower	Berlin	101.0	331.4	25
78	Holiday Inn Frankfurt City South	Frankfurt	100.0	328.1	25
78	Charité	Berlin	100.0	328.1	21
78	Die Pyramide	Berlin	100.0	328.1	23
78	RellingHaus II	Essen	100.0	328.1	21
