Date	Visitor	Score	Home	Leading scorer	Record
1 April 2006	Heat	99–106	Cavaliers	LeBron James (47)	43–29
2 April 2006	Cavaliers	101–97	Bobcats	LeBron James (35)	44–29
4 April 2006	Sixers	91–124	Cavaliers	LeBron James (37)	45–29
5 April 2006	Cavaliers	94–96	Knicks	LeBron James (36)	45–30
8 April 2006	Cavaliers	108–102	Nets	LeBron James (37)	46–30
10 April 2006	Cavaliers	103–101	Hornets	LeBron James (32)	47–30
12 April 2006	Cavaliers	73–96	Pistons	LeBron James (22)	47–31
13 April 2006	Knicks	87–91	Cavaliers	Larry Hughes (26)	48–31
16 April 2006	Cavaliers	92–104	Wizards	LeBron James (17)	48–32
17 April 2006	Cavaliers	93–88	Celtics	Larry Hughes (21)	49–32
19 April 2006	Hawks	99–100	Cavaliers	Ronald Murray (19)	50–32
