Rank	Nation	Gold	Silver	Bronze	Total
1	Japan (JPN)	23	9	4	36
2	Iran (IRI)	9	8	5	22
3	Malaysia (MAS)	6	7	13	26
4	Kuwait (KUW)	5	4	6	15
5	Vietnam (VIE)	4	6	7	17
6	Kazakhstan (KAZ)	3	2	4	9
7	Indonesia (INA)	2	6	11	19
8	Chinese Taipei (TPE)	2	4	15	21
9	China (CHN)	2	0	1	3
10	Syria (SYR)	1	2	2	5
10	Uzbekistan (UZB)	1	2	2	5
12	Jordan (JOR)	1	1	4	6
13	Saudi Arabia (KSA)	0	2	3	5
14	Macau (MAC)	0	1	8	9
15	Philippines (PHI)	0	1	5	6
15	Thailand (THA)	0	1	5	6
17	Hong Kong (HKG)	0	1	3	4
18	United Arab Emirates (UAE)	0	1	1	2
19	South Korea (KOR)	0	0	4	4
20	Brunei (BRU)	0	0	3	3
20	Qatar (QAT)	0	0	3	3
22	Nepal (NEP)	0	0	2	2
22	Tajikistan (TJK)	0	0	2	2
24	Sri Lanka (SRI)	0	0	1	1
Total	Total	59	58	114	231
