Name (pinyin)	Name (Wade Giles)	Characters	Type	Construction
Leihu	Lei-hu	雷虎	steam torpedo boat	1884, Stettin, Germany
Leilong	Lei-lung	雷龍	steam torpedo boat	1884, Stettin, Germany
Leidui	Lei-tui	雷兑	steam torpedo boat	1885, Schichau, Germany
Leigan	Lei-kan	雷乾	steam torpedo boat	1885, Schichau, Germany
Leiqian	Lei-ch'ien	雷坎	steam torpedo boat	1885, Schichau, Germany
Leikun	Lei-k'un	雷坤	steam torpedo boat	1885, Schichau, Germany
Leili	Lei-li	雷離	steam torpedo boat	1885, Schichau, Germany
Leigen	Lei-gen	雷艮	steam torpedo boat	1885, Schichau, Germany
Leixun	Lei-hsun	雷巽	steam torpedo boat	1885, Schichau, Germany
Leizhen	Lei-chen	雷震	steam torpedo boat	1885, Schichau, Germany
Leizhong	Lei-chung	雷中	steam torpedo boat	1885, Schichau, Germany
Guangheng	Kuang-heng	廣亨	composite shallow-draft gunboat	1886, Canton
Guangli	Kuang-li	廣利	composite shallow-draft gunboat	1886, Canton
Guangyuan	Kuang-yuan	廣元	composite shallow-draft gunboat	1886, Canton
Guangzhen	Kuang-chen	廣貞	composite shallow-draft gunboat	1886, Canton
Guanggeng	Kuang-keng	廣庚	wooden gunboat	c.1887, Foochow Navy Yard
Guangxing	Kuang-hsing	廣興	wooden gunboat	c.1887, Foochow Navy Yard
Guangzhen	Kuang-chen	廣鎮	wooden gunboat	c.1887, Foochow Navy Yard
Guangkui	Kuang-k'uei	廣癸	wooden gunboat	c.1887, Foochow Navy Yard
Guangjia	Kuang-chia	廣甲	composite cruiser	1887, Foochow Navy Yard
Guangyi	Kuang-i	廣乙	steel torpedo gunboat	1892, Foochow Navy Yard
Guangbing	Kuang-ping	廣丙	steel torpedo gunboat	1892, Foochow Navy Yard
Guangding	Kuang-ting	廣丁	steel torpedo gunboat	1892, Foochow Navy Yard
