Rank	Rank w/o Hydropower	State	% Renewable	% Renewable w/o Hydro	Renewable electricity (GW·h)	Renewable electricity w/o Hydro (GW·h)	Total electricity (GW·h)
1	7	Idaho	92.3%	11.89%	14739	1898	15968
2	16	Washington	86.8%	6.87%	101974	8071	117481
3	10	Oregon	78.8%	9.38%	47730	5683	60568
4	2	South Dakota	77.1%	22.33%	9300	2692	12056
5	1	Maine	49.8%	25.24%	7851	3983	15778
6	20	Montana	46.0%	4.16%	13759	1243	29911
7	6	California	35.5%	14.27%	70933	28484	199634
8	17	Vermont	27.4%	6.87%	1857	465	6771
9	22	New York	23.6%	3.61%	32409	4961	137346
10	50	Alaska	22.3%	0.32%	1529	22	6851
11	5	North Dakota	22.2%	14.77%	7741	5161	34940
12	3	Iowa	21.2%	19.09%	12095	10871	56938
13	4	Minnesota	18.4%	16.30%	9857	8733	53573
14	11	Nevada	15.9%	9.14%	5153	2956	32352
15	18	New Hampshire	13.8%	6.00%	2772	1208	20141
16	9	Colorado	13.8%	9.48%	7068	4873	51392
17	46	Tennessee	12.9%	1.28%	10469	1033	80918
18	8	Wyoming	12.7%	10.10%	5933	4709	46613
19	14	Oklahoma	10.3%	7.59%	7727	5700	75148
20	12	Hawaii	9.5%	8.49%	990	881	10382
21	49	Arizona	9.0%	0.43%	9747	463	108295
22	21	Wisconsin	8.4%	3.99%	5375	2558	64105
23	13	Kansas	8.2%	8.25%	3759	3759	45565
24	36	Maryland	8.2%	2.17%	3450	909	41913
25	26	Nebraska	8.2%	3.12%	2862	1089	34950
26	39	Alabama	7.9%	1.95%	12443	3060	157169
27	29	Arkansas	7.7%	2.71%	4756	1667	61426
28	15	Texas	7.5%	7.23%	32723	31613	437043
29	19	New Mexico	6.5%	5.74%	2508	2202	38380
30	24	Massachusetts	6.2%	3.46%	2372	1327	38371
31	41	North Carolina	5.3%	1.77%	6269	2088	118126
32	25	Virginia	5.1%	3.29%	3417	2207	66994
33	31	Georgia	5.0%	2.53%	6240	3167	125094
34	33	Utah	4.7%	2.26%	1894	916	40522
35	30	Michigan	4.3%	2.70%	4672	2954	109408
36	38	South Carolina	4.0%	2.06%	4124	2127	103246
37	23	Illinois	3.6%	3.53%	7153	7019	198989
38	35	Connecticut	3.4%	2.25%	1156	755	33603
39	48	Kentucky	3.4%	0.44%	3373	432	98184
40	27	Indiana	3.3%	2.98%	4004	3601	120761
41	32	Louisiana	3.3%	2.32%	3484	2440	105263
42	44	West Virginia	3.3%	1.39%	2580	1100	79080
43	40	Pennsylvania	3.3%	1.94%	7421	4437	228239
44	28	Mississippi	2.9%	2.90%	1497	1497	51617
45	45	Missouri	2.6%	1.31%	2449	1249	95088
46	34	Delaware	2.3%	2.26%	148	148	6548
47	37	Florida	2.2%	2.10%	4878	4695	223985
48	42	Rhode Island	1.6%	1.63%	143	143	8771
49	43	New Jersey	1.5%	1.48%	976	955	64456
