Place	Player	Country	Score	To par
1	Vijay Singh	Fiji	70-66=136	−4
T2	Scott Gump	United States	68-69=136	−3
T2	Colin Montgomerie	Scotland	70-67=137	−3
T2	Steve Stricker	United States	69-68=137	−3
T5	Steve Elkington	Australia	69-69=138	−2
T5	Brad Faxon	United States	70-68=138	−2
T5	Davis Love III	United States	70-68=138	−2
T5	Andrew Magee	United States	70-68=138	−2
T5	Tiger Woods	United States	66-72=138	−2
T10	John Cook	United States	71-68=139	−1
T10	Glen Day	United States	68-71=139	−1
T10	David Frost	South Africa	70-69=139	−1
T10	Frank Lickliter	United States	68-71=139	−1
T10	Mark O'Meara	United States	69-70=139	−1
