Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	62	1:31:39.776	2
Mika Häkkinen	McLaren - Mercedes	62	+1.168	1
David Coulthard	McLaren - Mercedes	62	+51.008	3
Rubens Barrichello	Ferrari	62	+1:29.276	4
Jacques Villeneuve	BAR - Honda	61	+1 Lap	9
Mika Salo	Sauber - Petronas	61	+1 Lap	12
Eddie Irvine	Jaguar - Cosworth	61	+1 Lap	7
Pedro Diniz	Sauber - Petronas	61	+1 Lap	10
Alexander Wurz	Benetton - Playlife	61	+1 Lap	11
Johnny Herbert	Jaguar - Cosworth	61	+1 Lap	17
Giancarlo Fisichella	Benetton - Playlife	61	+1 Lap	19
Ricardo Zonta	BAR - Honda	61	+1 Lap	14
Gastón Mazzacane	Minardi - Fondmetal	60	+2 Laps	20
Jos Verstappen	Arrows - Supertec	59	+3 Laps	16
Jarno Trulli	Jordan - Mugen-Honda	58	Gearbox	8
Pedro de la Rosa	Arrows - Supertec	49	Spun off	13
Ralf Schumacher	Williams - BMW	45	Fuel System	5
Jean Alesi	Prost - Peugeot	25	Hydraulics	15
Nick Heidfeld	Prost - Peugeot	22	Hydraulics	22
Jenson Button	Williams - BMW	5	Engine	18
Marc Gené	Minardi - Fondmetal	5	Spun off	21
Heinz-Harald Frentzen	Jordan - Mugen-Honda	4	Gearbox	6
