Name	Years	Area	Authority	Decile	Roll
Buller High School	9–15	Westport	State	3	361
Granity School	1–8	Granity	State	4	37
Inangahua Junction School	1–6	Inangahua Junction	State	6	14
Karamea Area School	1–15	Karamea	State	5	93
Maruia School	1–8	Maruia	State	9	19
Reefton Area School	1–15	Reefton	State	3	206
Sacred Heart School	1–8	Reefton	State integrated	4	34
St Canice's School	1–8	Westport	State integrated	4	160
Waimangaroa School	1–8	Waimangaroa	State	2	18
Westport North School	1–8	Westport	State	4	260
Westport South School	1–8	Westport	State	4	274
