Week	Date	Opponent	Location	Final Score	Attendance	Record
1	July 16	@ Tiger-Cats	Ivor Wynne Stadium	L 29–24	13157	0–1
2	July 20	Rough Riders	Exhibition Stadium	W 34–11	20114	1–1
3	July 28	Lions	Exhibition Stadium	W 26–21	21846	2–1
4	August 2	@ Rough Riders	Lansdowne Park	W 41–7	24322	3–1
5	August 11	@ Lions	BC Place Stadium	W 24–12	29621	4–1
6	August 16	Tiger-Cats	Exhibition Stadium	W 19–5	25103	5–1
7	August 26	@ Roughriders	Taylor Field	W 23–21	24662	6–1
8	August 31	Stampeders	Exhibition Stadium	W 33–17	24210	7–1
8	September 5	@ Tiger-Cats	Ivor Wynne Stadium	L 56–28	18300	7–2
9	September 9	Roughriders	Exhibition Stadium	L 14–13	23498	7–3
10	September 18	@ Eskimos	Commonwealth Stadium	L 38–21	33549	7–4
11	September 25	Eskimos	Exhibition Stadium	W 35–22	24104	8–4
12	September 30	@ Stampeders	McMahon Stadium	W 42–25	18281	9–4
13	October 8	@ Rough Riders	Lansdowne Park	W 52–3	18527	10–4
14	October 14	Rough Riders	Exhibition Stadium	W 49–7	21713	11–4
15	October 23	Blue Bombers	Exhibition Stadium	W 36–13	23324	12–4
16	October 30	@ Blue Bombers	Winnipeg Stadium	W 22–16	23557	13–4
