Rank	Airport	Total Passengers	% Change 2008/2009	International Passengers	Domestic Passengers	Transit Passengers	Aircraft Movements	Freight ( Metric Tonnes )
1	London Heathrow	66036957	1.5%	60652036	5254605	130316	466393	1277650
2	London Gatwick	32392520	5.3%	28698660	3662113	31747	251879	74680
3	London Stansted	19957077	10.7%	18054748	1894941	7388	167817	182810
4	Manchester	18724889	11.8%	16063891	2566503	94495	172515	102543
5	London Luton	9120546	10.4%	7937319	1178008	5219	98736	28643
6	Birmingham	9102899	5.4%	7773643	1319558	9698	101221	13070
7	Edinburgh	9049355	0.5%	4136677	4906775	5903	115969	23791
8	Glasgow International	7225021	11.7%	3423174	3790223	11624	85281	2334
9	Bristol	5642921	10.0%	4506808	1108392	27721	70245	0
10	Liverpool	4884494	8.4%	4078795	800673	5026	79298	264
11	East Midlands	4658151	17.1%	4019364	633327	5460	83256	255121
12	Newcastle	4587883	9.0%	3158477	1410142	19264	69254	2597
13	Belfast International	4546475	13.6%	1667738	2868760	9977	68813	29804
14	Aberdeen	2984445	9.3%	1286843	1696950	652	109876	3822
15	London City	2796890	14.2%	2204731	592159	0	76861	0
16	Belfast City	2621763	2.0%	55251	2566482	30	39330	138
17	Leeds Bradford	2574426	10.4%	2098479	454118	21829	53817	359
18	Glasgow Prestwick	1817727	24.8%	1358000	459286	441	34230	13385
19	Southampton	1789901	8.0%	682427	1107016	458	45502	209
