Season	Series	Team	Races	Wins	Poles	Podiums	Points	Position
2005	Western Australian Formula Ford Champ.	Privateer	3	0	0	0	74	8th
2006	Formula BMW Asia	Eurasia Motorsport	19	2	3	12	231	3rd
2006	Formula BMW UK	Motaworld Racing	2	0	0	0	3	20th
2006	Formula BMW World Final	Fortec Motorsport	1	0	0	0	N/A	5th
2007	Formula Renault 2.0 Italy	RP Motorsport	14	0	0	0	196	6th
2007	Eurocup Formula Renault 2.0	RP Motorsport	4	0	0	0	0	NC
2008	Formula Renault 2.0 WEC	SG Formula	15	8	9	11	192	1st
2008	Eurocup Formula Renault 2.0	SG Formula	18	6	5	7	136	2nd
2008	Formula 3 Euro Series	SG Formula	2	0	0	0	N/A	NC†
2008	Masters of Formula 3	SG Formula	1	0	0	0	N/A	NC
2009	British Formula Three Championship	Carlin Motorsport	20	7	6	13	275	1st
2009	Masters of Formula 3	Carlin Motorsport	1	0	0	0	N/A	NC
2009	Formula Renault 3.5 Series	Tech 1 Racing	2	0	0	0	0	34th
2009	Macau Grand Prix	Carlin	1	0	0	0	N/A	NC
2010	Formula Renault 3.5 Series	Tech 1 Racing	16	4	8	8	136	2nd
2010	Formula One	Toro Rosso	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2011	Formula Renault 3.5 Series	ISR	12	1	2	6	144	5th
2011	Formula One	Scuderia Toro Rosso	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2011	Formula One	HRT Formula 1 Team	11	0	0	0	0	27th
2012	Formula One	Scuderia Toro Rosso	20	0	0	0	10	18th
2013	Formula One	Scuderia Toro Rosso	16	0	0	0	19	14th*
