Year	Zone	Final round	Score	Result
1921	World	1st	W/O	Withdrew
1922	World	1st	W/O	Withdrew
1923 - 1925	Did not enter	Did not enter	Did not enter	Did not enter
1926	America	Semifinal	0–5	Lost
1927	Did not enter	Did not enter	Did not enter	Did not enter
1928	North & Central America	Semifinal	0–5	Lost
1929	America	Quarterfinal	0–5	Lost
1930 - 1945	Did not enter	Did not enter	Did not enter	Did not enter
1946	America	Quarterfinal	0–5	Lost
1947 - 1949	Did not enter	Did not enter	Did not enter	Did not enter
1950	Europe	Quarterfinal	0–5	Lost
1951	Europe	Semifinal	0–5	Lost
1952	Did not enter	Did not enter	Did not enter	Did not enter
1953	Europe	Quarterfinal	1–4	Lost
1954	Did not enter	Did not enter	Did not enter	Did not enter
1955	Eastern	Final	2–3	Stays at Eastern Zone
1956	Did not enter	Did not enter	Did not enter	Did not enter
1957	Inter-Zonal	Final	0–5	Stays at Eastern Zone
1958	Inter-Zonal	Semifinal	0–5	Stays at Eastern Zone
1959	Eastern	Final	1–4	Stays at Eastern Zone
1960	Inter-Zonal	Semifinal	0–5	Stays at Eastern Zone
1961	Eastern	Semifinal	2–3	Stays at Eastern Zone
1962	Eastern	Final	0–5	Stays at Eastern Zone
1963	Eastern	Semifinal	0–5	Stays at Eastern Zone
1964	Inter-Zonal	Semifinal	0–5	Stays at Eastern Zone
1965	Eastern	Semifinal	0–5	Stays at Eastern Zone
1966	Eastern	Final	2–3	Stays at Eastern Zone
1967	Eastern	Final	0–5	Stays at Eastern Zone
1968	Eastern	Final	1–4	Stays at Eastern Zone
1969	Eastern	Semifinal	0–5	Stays at Eastern Zone
1970	Eastern	Semifinal	0–5	Stays at Eastern Zone
1971	Eastern	Final	1–4	Stays at Eastern Zone
1972	Eastern	Quarterfinal	W/O	Stays at Eastern Zone
1973	Did not enter	Did not enter	Did not enter	Did not enter
1974	Eastern	Quarterfinal	0–5	Stays at Eastern Zone
1975	Eastern	Quarterfinal	0–4	Stays at Eastern Zone
1976	Eastern	Preliminary round	W/O	Stays at Eastern Zone
1977	Eastern	Semifinal	1–4	Stays at Eastern Zone
1978	Eastern	Preliminary round	W/O	Stays at Eastern Zone
1979	Eastern	Preliminary round	W/O	Stays at Eastern Zone
1980 - 1981	Did not enter	Did not enter	Did not enter	Did not enter
1982	Eastern	Quarterfinal	1–4	Stays at Eastern Zone
1983	Eastern	Quarterfinal	1–4	Stays at Eastern Zone
1984	Eastern	Quarterfinal	0–5	Stays at Eastern Zone
1985	Eastern	Semifinal	1–4	Stays at Eastern Zone
1986	Eastern	1st round	1–4	Stays at Eastern Zone
1987	Eastern	Quarterfinal	1–4	Included at newly created Eastern Zone Group I
1988	Eastern Group I	Quarterfinal	0–5	Stays at renamed Asia/Oceania Zone Zone Group I
1989	Asia/Oceania Group I	Quarterfinal	1–4	Stays at Asia/Oceania Zone Group I
1990	Asia/Oceania Group I	Quarterfinal	0–5	Stays at Asia/Oceania Zone Group I
1991	World Group qualifying round	Final	0–5	Stays at Asia/Oceania Zone Group I
1992	Asia/Oceania Group I	Quarterfinal	1–4	Stays at Asia/Oceania Zone Group I
1993	Asia/Oceania Group I	Quarterfinal	1–4	Stays at Asia/Oceania Zone Group I
1994	Asia/Oceania Group I	Quarterfinal	0–5	Stays at Asia/Oceania Zone Group I
1995	Asia/Oceania Group I	Semifinal	0–5	Stays at Asia/Oceania Zone Group I
1996	Asia/Oceania Group I	Relegation play-off	3–2	Stays at Asia/Oceania Zone Group I
1997	Asia/Oceania Group I	Relegation play-off	0–5	Relegated to Asia/Oceania Zone Group II
1998	Asia/Oceania Group II	Relegation play-off	4–1	Stays at Asia/Oceania Zone Group II
1999	Asia/Oceania Group II	Final	4–1	Stays at Asia/Oceania Zone Group II
2000	Asia/Oceania Group II	Relegation play-off	2–3	Relegated to Asia/Oceania Zone Group III
2001	Asia/Oceania Group III	Final	2–0	Promoted to Asia/Oceania Zone Group II
2002	Asia/Oceania Group II	Relegation play-off	3–2	Stays at Asia/Oceania Zone Group II
2003	Asia/Oceania Group II	Relegation play-off	3–2	Stays at Asia/Oceania Zone Group II
2004	Asia/Oceania Group II	Relegation play-off	4–1	Stays at Asia/Oceania Zone Group II
2005	Asia/Oceania Group II	Relegation play-off	3–2	Relegated to Asia/Oceania Zone Group III
2006	Asia/Oceania Group III	Round robin	NP	Promoted to Asia/Oceania Zone Group II
2007	Asia/Oceania Group II	Final	5–0	Promoted to Asia/Oceania Zone Group I
2008	Asia/Oceania Group I	Relegation play-off	0–5	Relegated to Asia/Oceania Zone Group II
2009	Asia/Oceania Group II	Final	4–1	Promoted to Asia/Oceania Zone Group I
2010	Asia/Oceania Group I	Relegation play-off	3–2	Stays at Asia/Oceania Zone Group I
2011	Asia/Oceania Group I	Relegation play-off	2–3	Relegated to Asia/Oceania Zone Group II
2012	Asia/Oceania Group II	Final	2–3	Stays at Asia/Oceania Zone Group II
2013	Asia/Oceania Group II	Final	2–3	Stays at Asia/Oceania Zone Group II
