Week	Date	Opponent	Result	Game site	Attendance
1	1990-09-09	at Cincinnati Bengals	L 25–20	Riverfront Stadium	56,467
2	1990-09-16	Cleveland Browns	W 24–21	The Meadowlands	67,354
3	1990-09-24	Buffalo Bills	L 30–7	The Meadowlands	69,927
4	1990-09-30	at New England Patriots	W 37–13	Foxboro Stadium	36,724
5	1990-10-07	at Miami Dolphins	L 20–16	Joe Robbie Stadium	69,678
6	1990-10-14	San Diego Chargers	L 39–3	The Meadowlands	63,311
7	1990-10-21	at Buffalo Bills	L 30–27	Rich Stadium	79,002
8	1990-10-28	at Houston Oilers	W 17–12	Houston Astrodome	56,337
9	1990-11-04	Dallas Cowboys	W 24–9	The Meadowlands	68,086
10	1990-11-11	Miami Dolphins	L 17–3	The Meadowlands	68,362
11	1990-11-18	at Indianapolis Colts	L 17–14	Hoosier Dome	47,283
12	1990-11-25	Pittsburgh Steelers	L 24–7	The Meadowlands	57,806
13	1990-12-02	at San Diego Chargers	L 38–17	Jack Murphy Stadium	40,877
14	Bye	Bye	Bye	Bye	Bye
15	1990-12-16	Indianapolis Colts	L 29–21	The Meadowlands	41,423
16	1990-12-23	New England Patriots	W 42–7	The Meadowlands	30,250
17	1990-12-30	at Tampa Bay Buccaneers	W 16–14	Tampa Stadium	46,543
