Season	Teams	Champion	Season MVP	Top Draft Pick	Rookie of the Year	All-Star Game
1997	8	Houston Comets	Cynthia Cooper Houston Comets	Tina Thompson Houston Comets	No award given	No game held
1998	10	Houston Comets (2)	Cynthia Cooper (2) Houston Comets	Margo Dydek Utah Starzz	Tracy Reid Charlotte Sting	No game held
1999	12	Houston Comets (3)	Yolanda Griffith Sacramento Monarchs	Chamique Holdsclaw Washington Mystics	Chamique Holdsclaw Washington Mystics	Madison Square Garden , New York 79-61, WEST
2000	16	Houston Comets (4)	Sheryl Swoopes Houston Comets	Ann Wauters Cleveland Rockers	Betty Lennox Minnesota Lynx	America West Arena , Phoenix 73-61, WEST
2001	16	Los Angeles Sparks	Lisa Leslie Los Angeles Sparks	Lauren Jackson Seattle Storm	Jackie Stiles Portland Fire	TD Waterhouse Centre , Orlando 80-72, WEST
2002	16	Los Angeles Sparks (2)	Sheryl Swoopes (2) Houston Comets	Sue Bird Seattle Storm	Tamika Catchings Indiana Fever	MCI Center , Washington DC 81-76, WEST
2003	14	Detroit Shock	Lauren Jackson Seattle Storm	LaToya Thomas Cleveland Rockers	Cheryl Ford Detroit Shock	Madison Square Garden , New York 84-75, WEST
2004	13	Seattle Storm	Lisa Leslie (2) Los Angeles Sparks	Diana Taurasi Phoenix Mercury	Diana Taurasi Phoenix Mercury	The Game at Radio City
2005	13	Sacramento Monarchs	Sheryl Swoopes (3) Houston Comets	Janel McCarville Charlotte Sting	Temeka Johnson Washington Mystics	Mohegan Sun Arena , Connecticut 122-99, WEST
2006	14	Detroit Shock (2)	Lisa Leslie (3) Los Angeles Sparks	Seimone Augustus Minnesota Lynx	Seimone Augustus Minnesota Lynx	Madison Square Garden , New York 98-82, EAST
2007	13	Phoenix Mercury	Lauren Jackson (2) Seattle Storm	Lindsey Harding Phoenix Mercury	Armintie Price Chicago Sky	Verizon Center , Washington DC 103-99, EAST
2008	14	Detroit Shock (3)	Candace Parker Los Angeles Sparks	Candace Parker Los Angeles Sparks	Candace Parker Los Angeles Sparks	No game held
2009	13	Phoenix Mercury (2)	Diana Taurasi Phoenix Mercury	Angel McCoughtry Atlanta Dream	Angel McCoughtry Atlanta Dream	Mohegan Sun Arena , Connecticut 130-118, WEST
2010	12	Seattle Storm (2)	Lauren Jackson (3) Seattle Storm	Tina Charles Connecticut Sun	Tina Charles Connecticut Sun	Stars at the Sun
2011	12	Minnesota Lynx	Tamika Catchings Indiana Fever	Maya Moore Minnesota Lynx	Maya Moore Minnesota Lynx	AT&T Center , San Antonio 118-113, EAST
2012	12	Indiana Fever	Tina Charles Connecticut Sun	Nneka Ogwumike Los Angeles Sparks	Nneka Ogwumike Los Angeles Sparks	No game held
