Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	1:10.130	1:09.358	1:09.358
Patrick Carpentier	Forsythe Racing	1:09.918	1:09.605	1:09.605
Paul Tracy	Forsythe Racing	1:10.214	1:09.515	1:09.515
A. J. Allmendinger	RuSPORT	1:10.463	1:09.567	1:09.567
Michel Jourdain, Jr.	RuSPORT	1:10.776	1:09.714	1:09.714
Alex Tagliani	Rocketsports Racing	1:10.383	1:09.790	1:09.790
Ryan Hunter-Reay	Herdez Competition	1:10.890	1:09.823	1:09.823
Bruno Junqueira	Newman/Haas Racing	1:10.392	1:09.936	1:09.936
Jimmy Vasser	PKV Racing	1:10.759	1:09.967	1:09.967
Mario Domínguez	Herdez Competition	1:10.397	1:10.088	1:10.088
Rodolfo Lavín	Forsythe Racing	1:10.809	1:10.606	1:10.606
Oriol Servià	Dale Coyne Racing	1:11.696	1:10.650	1:10.650
Mario Haberfeld	Walker Racing	1:11.812	1:10.771	1:10.771
Guy Smith	Rocketsports Racing	1:11.948	1:10.949	1:10.949
Justin Wilson	Mi-Jack Conquest Racing	1:11.929	1:10.998	1:10.998
Nelson Philippe	Mi-Jack Conquest Racing	1:12.220	1:11.410	1:11.410
Gastón Mazzacane	Dale Coyne Racing	1:12.121	1:11.740	1:11.740
Roberto González	PKV Racing	1:11.885	—	1:11.885
